着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師,race_id
1,6,10,リレーションシップ,牡7,60.0,高田潤,3:11.5,,2.3,1.0,518(0),[西] 斉藤崇史,202404010101
2,8,13,シゲルタヌキ,牡5,60.0,小坂忠士,3:11.8,1.3/4,5.2,2.0,480(-4),[西] 藤沢則雄,202404010101
3,4,6,ヴァトレニ,セ6,60.0,森一馬,3:11.9,アタマ,8.1,4.0,446(-2),[西] 長谷川浩,202404010101
4,5,7,パーリーブラック,牡4,59.0,石神深一,3:12.7,5,8.2,5.0,474(+2),[東] 伊坂重信,202404010101
5,6,9,アドマイヤレビン,牡6,60.0,小野寺祐,3:13.1,2.1/2,7.0,3.0,502(+10),[東] 加藤征弘,202404010101
6,4,5,マイネルコロンブス,牡7,60.0,上野翔,3:13.1,ハナ,13.8,6.0,486(+6),[東] 土田稔,202404010101
7,8,14,テンコマンドゥール,牡4,59.0,五十嵐雄,3:13.1,ハナ,31.0,8.0,488(-2),[東] 矢野英一,202404010101
8,2,2,ロードスパイラル,牡4,59.0,小牧加矢,3:13.3,1.1/4,34.8,9.0,480(-6),[西] 清水久詞,202404010101
9,5,8,テイエムフォンテ,牡5,60.0,黒岩悠,3:13.6,2,168.8,14.0,496(+14),[西] 河嶋宏樹,202404010101
10,3,4,トーセンウォルト,牡4,59.0,大江原圭,3:14.0,2.1/2,43.5,10.0,480(0),[東] 杉浦宏昭,202404010101
11,1,1,ゴールドルパン,セ5,57.0,坂口智康,3:14.2,3/4,53.9,11.0,470(-8),[東] 石栗龍彦,202404010101
12,7,11,クリノハニー,牝5,57.0,水沼元輝,3:15.0,5,121.7,13.0,468(-8),[東] 的場均,202404010101
13,3,3,オールフラッグ,牡5,60.0,伴啓太,3:15.1,3/4,21.1,7.0,488(+8),[東] 奥村武,202404010101
14,7,12,タイクーン,牡5,60.0,中村将之,3:15.2,クビ,84.8,12.0,532(+6),[西] 本田優,202404010101
1,6,10,リエータメンテ,牝3,53.0,西塚洸二,1:56.1,,2.9,1.0,456(+2),[西] 藤原英昭,202404010102
2,7,11,ダイシンサンディー,牝3,53.0,永島まな,1:56.1,アタマ,14.1,6.0,484(-2),[西] 梅田智之,202404010102
3,3,4,ダンツドール,牝3,55.0,国分優作,1:57.0,5,10.6,5.0,456(-2),[西] 四位洋文,202404010102
4,3,3,ブリッジワン,牝3,55.0,富田暁,1:57.5,3,56.5,9.0,446(+2),[西] 武英智,202404010102
5,4,5,シャローム,牝3,54.0,佐々木大,1:57.7,1,4.4,3.0,458(-4),[西] 茶木太樹,202404010102
6,1,1,アパイシュナール,牝3,55.0,丸山元気,1:57.7,クビ,7.6,4.0,452(+2),[東] 田村康仁,202404010102
7,5,8,ロールオブアームズ,牝3,55.0,丹内祐次,1:58.2,3,4.0,2.0,480(+4),[東] 田村康仁,202404010102
8,4,6,メイケイアリッサム,牝3,52.0,柴田裕一,1:58.9,4,565.1,14.0,440(+6),[西] 中竹和也,202404010102
9,8,13,ココケイ,牝3,51.0,河原田菜,1:58.9,ハナ,232.5,12.0,440(-6),[東] 矢嶋大樹,202404010102
