着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師,race_id
1,5,5,サトミノキラリ,牡2,55.0,横山武史,1:09.5,,1.2,1.0,452(-4),[東] 鈴木伸尋,202301010101
2,8,8,ベアゴーゴー,牝2,55.0,浜中俊,1:09.5,クビ,4.1,2.0,454(+2),[東] 杉浦宏昭,202301010101
3,6,6,ハピアーザンエバー,牡2,55.0,藤岡佑介,1:10.0,2.1/2,59.9,6.0,438(-6),[西] 羽月友彦,202301010101
4,4,4,デビルシズカチャン,牝2,55.0,ルメール,1:10.2,1.1/2,16.6,3.0,450(+2),[西] 武幸四郎,202301010101
5,1,1,ウィスピースノー,牝2,55.0,吉田隼人,1:10.3,1/2,23.9,5.0,434(-10),[西] 今野貞一,202301010101
6,2,2,ロードスタウト,牡2,55.0,鮫島克駿,1:10.7,2.1/2,61.8,7.0,454(-6),[西] 中村直也,202301010101
7,3,3,コミックガール,牝2,53.0,佐々木大,1:10.9,1.1/4,18.8,4.0,404(-2),[東] 上原佑紀,202301010101
8,7,7,ヒポカンポ,牝2,52.0,小林勝太,1:11.9,6,251.3,8.0,394(-2),[東] 伊藤圭三,202301010101
1,7,9,クリーデンス,牝3,54.0,ルメール,0:58.7,,2.4,1.0,496(+12),[西] 吉村圭司,202301010102
2,6,8,ビップナージャ,牝3,54.0,横山武史,0:59.6,5,15.1,5.0,420(-6),[東] 高柳瑞樹,202301010102
3,3,3,リキサンクー,牡3,53.0,小林勝太,0:59.6,ハナ,99.0,11.0,446(-4),[東] 奥平雅士,202301010102
4,4,4,イミュータブル,牡3,56.0,鮫島克駿,0:59.8,1.1/4,8.6,4.0,474(+10),[西] 浜田多実,202301010102
5,6,7,ステラヴェスパー,牝3,54.0,藤岡佑介,1:00.0,1.1/4,31.8,9.0,430(-4),[西] 茶木太樹,202301010102
6,5,5,ディーン,牝3,54.0,横山和生,1:00.0,ハナ,5.2,3.0,460(+2),[東] 石栗龍彦,202301010102
7,1,1,トウケイチョウテン,牡3,56.0,斎藤新,1:00.3,1.3/4,243.5,12.0,454(-2),[東] 辻哲英,202301010102
8,5,6,マジカルガール,牝3,54.0,黛弘人,1:00.3,クビ,17.0,6.0,412(+2),[東] 嘉藤貴行,202301010102
9,7,10,グランツベリー,牝3,51.0,今村聖奈,1:00.6,1.3/4,3.5,2.0,450(+4),[西] 田中克典,202301010102
10,8,11,エイユーマックス,牡3,55.0,小沢大仁,1:00.8,3/4,22.0,7.0,476(-2),[西] 岡田稲男,202301010102
11,2,2,ジュレーヴ,牡3,54.0,佐々木大,1:00.9,1,59.5,10.0,442(+8),[東] 堀内岳志,202301010102
12,8,12,メジャーエール,牝3,53.0,松本大輝,1:01.1,1,31.7,8.0,450(+4),[東] 深山雅史,202301010102
1,7,11,ケイアイメキラ,セ3,56.0,亀田温心,1:47.6,,8.4,6.0,462(+4),[西] 村山明,202301010103
2,3,4,ホウオウプレシャス,牡3,56.0,丹内祐次,1:47.7,1/2,3.4,1.0,496(+2),[東] 栗田徹,202301010103
3,6,9,ナイトスピアー,牡3,56.0,横山和生,1:48.2,3,4.8,2.0,472(0),[東] 小野次郎,202301010103
4,3,3,ジラルデ,牡3,56.0,池添謙一,1:48.3,クビ,6.2,4.0,468(+12),[西] 飯田祐史,202301010103
5,7,12,レイジングスラスト,牡3,56.0,北村友一,1:48.5,1.1/2,5.7,3.0,536(+14),[西] 矢作芳人,202301010103
6,6,10,アルセリア,牝3,52.0,佐々木大,1:48.7,1.1/2,7.4,5.0,430(-8),[東] 和田雄二,202301010103
7,5,7,エイチエヌバンピー,牡3,56.0,山田敬士,1:48.8,クビ,214.9,14.0,430(-17),[東] 小桧山悟,202301010103
8,8,13,グレートキングベア,牡3,56.0,横山武史,1:48.9,1,20.1,8.0,452(-2),[東] 鈴木伸尋,202301010103
