着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師,race_id
1,1,1,アンテロース,牡2,54,武豊,1:53.5,,1.2,1.0,436(0),[西] 岡田稲男,202201010101
2,3,3,トーセンウォルト,牡2,54,横山武史,1:53.6,クビ,11.3,3.0,450(-6),[東] 小桧山悟,202201010101
3,5,5,トーセントラム,牡2,54,横山和生,1:53.7,3/4,4.3,2.0,412(-6),[東] 小桧山悟,202201010101
4,2,2,エターナルジェイド,牡2,54,丹内祐次,1:54.4,4,17.2,4.0,432(-2),[東] 宗像義忠,202201010101
5,4,4,クリノグローリー,牡2,54,菱田裕二,1:54.6,1.1/2,28.4,5.0,460(+6),[西] 谷潔,202201010101
1,3,3,インペリアルライン,セ3,55,秋山稔樹,1:47.0,,7.7,5.0,452(-2),[東] 中舘英二,202201010102
2,7,8,ジョーカーブラウン,牡3,56,丹内祐次,1:47.0,1/2,7.3,4.0,516(-2),[東] 松山将樹,202201010102
3,4,4,キングクー,牡3,56,吉田隼人,1:47.0,ハナ,3.4,2.0,494(0),[西] 武幸四郎,202201010102
4,8,10,ベッサスタージル,牡3,56,横山和生,1:47.9,5,3.1,1.0,500(+4),[東] 小野次郎,202201010102
5,2,2,アスリエル,牡3,56,岩田康誠,1:48.1,1,12.5,6.0,464(+10),[東] 奥村武,202201010102
6,6,6,タロマイスター,牡3,53,大久保友,1:48.1,クビ,25.1,8.0,480(0),[西] 杉山佳明,202201010102
7,5,5,コパノカールトン,牡3,56,横山武史,1:48.1,ハナ,5.5,3.0,538(+2),[東] 手塚貴久,202201010102
8,7,7,ララアンセストラル,牡3,54,角田大和,1:48.5,2.1/2,16.5,7.0,458(-12),[西] 松下武士,202201010102
9,8,9,オーラライト,牝3,54,鮫島克駿,1:49.0,3,86.0,9.0,460(+18),[西] 西村真幸,202201010102
10,1,1,リカステ,牝3,51,鷲頭虎太,1:49.5,3,123.5,10.0,438(-6),[西] 武英智,202201010102
1,7,12,ルージュエクレール,牝3,54,横山武史,1:29.4,,2.5,2.0,424(+6),[東] 萩原清,202201010103
2,1,1,ポリッシュキッス,牝3,54,菱田裕二,1:30.1,4,15.4,5.0,428(-8),[西] 高柳大輔,202201010103
3,3,4,パンドーロ,牝3,53,泉谷楓真,1:30.3,1.1/4,173.9,11.0,476(-14),[西] 奥村豊,202201010103
4,8,13,レモンケーキ,牝3,54,古川吉洋,1:30.5,3/4,103.6,10.0,426(-6),[西] 岡田稲男,202201010103
5,7,11,アナベル,牝3,54,浜中俊,1:30.7,1.1/2,75.2,9.0,446(+12),[西] 今野貞一,202201010103
6,4,6,ミュステーリオン,牝3,54,丹内祐次,1:30.8,3/4,20.5,6.0,456(-2),[東] 伊坂重信,202201010103
7,5,7,コーリングユー,牝3,54,横山和生,1:30.9,クビ,2.4,1.0,438(+10),[西] 安田隆行,202201010103
8,8,14,ビロングゴールド,牝3,54,勝浦正樹,1:30.9,クビ,247.5,12.0,446(-18),[東] 松永康利,202201010103
9,6,9,ベロア,牝3,51,横山琉人,1:31.0,クビ,36.8,8.0,426(+6),[東] 国枝栄,202201010103
10,6,10,ジャンヌノツルギ,牝3,54,吉田隼人,1:31.0,クビ,13.3,4.0,446(+8),[東] 小笠倫弘,202201010103
11,2,2,バンブリッジ,牝3,54,池添謙一,1:31.1,1/2,6.0,3.0,462(+6),[東] 尾関知人,202201010103
12,4,5,モルレー,牝3,54,鮫島克駿,1:31.3,1.1/4,21.8,7.0,438(+6),[西] 長谷川浩,202201010103
13,5,8,シトラスダル,牝3,53,秋山稔樹,1:32.6,8,369.3,14.0,418(-8),[東] 浅野洋一,202201010103
14,3,3,ヴォンソレイユ,牝3,51,鷲頭虎太,1:33.6,6,295.3,13.0,492(-4),[西] 千田輝彦,202201010103
1,6,11,モリノドリーム,牝3,54,丸山元気,1:10.0,,36.5,10.0,466(+4),[東] 大江原哲,202201010104
2,2,4,マヒナライズ,牝3,54,藤岡佑介,1:10.2,1.1/4,3.5,1.0,414(-4),[西] 藤岡健一,202201010104
3,8,16,ラミアヴィータ,牝3,54,柴山雄一,1:10.3,3/4,6.7,4.0,442(-2),[西] 昆貢,202201010104
4,4,7,スターザサンライズ,牝3,54,横山和生,1:10.5,3/4,4.9,2.0,432(-12),[西] 安田隆行,202201010104
5,2,3,リゾルテッツァ,牡3,54,角田大和,1:10.9,2.1/2,59.8,12.0,488(-2),[西] 角田晃一,202201010104
6,3,5,クインズプリーズ,牝3,54,菱田裕二,1:11.0,1/2,60.8,13.0,438(-4),[西] 吉岡辰弥,202201010104
7,5,9,ベルベリス,牝3,54,浜中俊,1:11.0,クビ,13.6,7.0,450(-6),[東] 高橋文雅,202201010104
8,1,2,ゼフィアス,牝3,51,大久保友,1:11.0,クビ,418.0,16.0,438(+8),[西] 小林真也,202201010104
9,3,6,キューランブラー,牝3,51,鷲頭虎太,1:11.1,クビ,12.8,6.0,434(-8),[西] 牧田和弥,202201010104
10,6,12,ピースキーパー,牝3,54,吉田隼人,1:11.1,アタマ,5.8,3.0,436(-2),[西] 奥村豊,202201010104
11,1,1,ショウナンラブリー,牝3,54,岩田康誠,1:11.2,1/2,18.8,8.0,412(-8),[東] 稲垣幸雄,202201010104
12,4,8,デルマゴモリー,牝3,51,小林凌大,1:11.3,1/2,33.2,9.0,412(-8),[東] 天間昭一,202201010104
13,7,14,ナンヨーリリー,牝3,54,斎藤新,1:11.4,1/2,111.7,14.0,410(-8),[東] 斎藤誠,202201010104
14,5,10,テンシ,牝3,54,丹内祐次,1:12.1,4,133.9,15.0,420(+16),[東] 杉浦宏昭,202201010104
15,7,13,デルマカミーラ,牝3,51,横山琉人,1:12.2,3/4,8.4,5.0,472(-6),[西] 牧田和弥,202201010104
16,8,15,ラファエーレ,牡3,55,泉谷楓真,1:12.2,ハナ,58.5,11.0,482(-4),[西] 大橋勇樹,202201010104
1,5,8,ミラーオブマインド,牡2,54,横山和生,1:47.0,,10.9,3.0,468(0),[東] 新開幸一,202201010105
2,3,4,エコロドゥネス,牡2,54,横山武史,1:47.2,1.1/2,3.6,2.0,480(0),[東] 加藤征弘,202201010105
3,7,12,アッチャゴーラ,牡2,54,斎藤新,1:48.9,10,41.7,11.0,478(0),[西] 村山明,202201010105
4,3,3,ノーブルヴィクター,牡2,54,丹内祐次,1:48.9,アタマ,17.2,6.0,456(0),[東] 水野貴広,202201010105
5,1,1,シゲルカミカゼ,牡2,54,吉田隼人,1:49.0,1/2,26.5,8.0,490(0),[東] 松山将樹,202201010105
6,7,11,ラリーレイド,牡2,54,岩田康誠,1:49.2,1.1/4,2.2,1.0,478(0),[東] 萩原清,202201010105
7,5,7,プロテア,牡2,54,池添謙一,1:50.4,7,13.1,4.0,474(0),[東] 手塚貴久,202201010105
8,6,9,リボンピーチ,牝2,51,鷲頭虎太,1:50.7,1.3/4,16.5,5.0,466(0),[西] 羽月友彦,202201010105
9,8,14,モカラエース,牡2,54,古川吉洋,1:51.2,3,21.7,7.0,456(0),[西] 高柳大輔,202201010105
10,4,6,コパノスタンリー,牝2,52,角田大和,1:52.1,5,34.3,9.0,478(0),[西] 宮徹,202201010105
11,2,2,サルジュターグ,牡2,54,丸山元気,1:52.4,2,38.5,10.0,484(0),[東] 村田一誠,202201010105
12,6,10,プライムトゥーレ,牡2,54,菱田裕二,1:55.1,大,86.9,12.0,476(0),[西] 小崎憲,202201010105
13,4,5,トロルトゥンガ,牡2,54,藤岡佑介,1:55.8,4,106.8,13.0,488(0),[東] 菊川正達,202201010105
14,8,13,コパノサンタアナ,牡2,53,泉谷楓真,2:03.5,大,134.0,14.0,470(0),[西] 村山明,202201010105
1,5,8,サルサロッサ,牝3,54,鮫島克駿,1:50.2,,6.0,2.0,452(+6),[東] 高柳瑞樹,202201010106
2,7,11,チカレンヌ,牝3,54,武豊,1:50.7,3,27.0,9.0,426(0),[西] 小崎憲,202201010106
3,8,14,オーロロッソ,牡3,54,角田大和,1:50.8,クビ,7.1,5.0,402(+2),[西] 野中賢二,202201010106
4,2,2,ケデシュ,牝3,54,横山武史,1:50.9,1,2.8,1.0,460(-18),[西] 上村洋行,202201010106
5,7,12,ゴールドルパン,牡3,56,原田和真,1:51.1,1.1/4,73.5,11.0,464(-6),[東] 堀内岳志,202201010106
6,4,6,ブルボンティアラ,牝3,54,丹内祐次,1:51.2,クビ,21.0,7.0,412(-6),[東] 伊藤伸一,202201010106
7,1,1,トレフォイル,牝3,52,山田敬士,1:51.3,3/4,67.4,10.0,462(-2),[東] 深山雅史,202201010106
8,8,13,ミラモンテ,牝3,54,黛弘人,1:51.3,ハナ,10.2,6.0,450(0),[東] 岩戸孝樹,202201010106
9,4,5,スヴィルカーチ,セ3,53,鷲頭虎太,1:51.9,3.1/2,168.8,13.0,432(-8),[西] 佐々木晶,202201010106
10,5,7,ルテリブル,牡3,55,秋山稔樹,1:52.2,1.3/4,114.7,12.0,462(-4),[東] 高柳瑞樹,202201010106
11,6,9,シャウビンダー,牝3,54,池添謙一,1:52.5,1.3/4,6.1,3.0,414(+2),[西] 須貝尚介,202201010106
12,6,10,ジャグアーロ,牡3,56,菱田裕二,1:52.6,1/2,22.7,8.0,440(0),[西] 杉山晴紀,202201010106
13,3,3,セットリスト,牝3,51,横山琉人,1:53.8,7,6.5,4.0,478(+2),[西] 茶木太樹,202201010106
14,3,4,テーオーノブレス,牝3,51,大久保友,1:56.5,大,216.8,14.0,404(-6),[西] 岡田稲男,202201010106
1,7,8,シャスティーナ,牝4,55,鮫島克駿,0:59.5,,4.7,2.0,484(+6),[西] 中村直也,202201010107
2,4,4,ユスティニアン,牡4,57,黛弘人,0:59.5,クビ,2.2,1.0,422(-4),[西] 新谷功一,202201010107
3,2,2,サンランシング,牝4,52,小林凌大,0:59.7,3/4,49.3,7.0,472(-10),[東] 新開幸一,202201010107
4,8,10,コンバットマーチ,牝5,55,古川吉洋,1:00.0,1.3/4,153.6,10.0,468(-8),[西] 藤沢則雄,202201010107
5,3,3,ガレットジョーカー,牝3,50,角田大和,1:00.1,1/2,6.3,4.0,452(+10),[西] 宮徹,202201010107
6,8,9,タイガークリスエス,牡3,54,武豊,1:00.1,クビ,5.8,3.0,464(-6),[西] 大橋勇樹,202201010107
7,6,6,ラージベル,牝3,50,山田敬士,1:00.1,ハナ,62.2,8.0,456(-12),[東] 松永康利,202201010107
8,5,5,ドクターマンボウ,牡3,54,菱田裕二,1:00.4,1.1/2,12.7,6.0,458(+2),[西] 牧浦充徳,202201010107
9,1,1,セイウンハルカニ,牡3,54,丸山元気,1:00.9,3,7.8,5.0,464(+2),[東] 竹内正洋,202201010107
10,7,7,サクラトップメジャ,牝4,52,土田真翔,1:01.0,1/2,111.3,9.0,440(-4),[東] 武市康男,202201010107
1,1,1,ドグマ,牡3,54,武豊,1:09.9,,2.0,1.0,474(-10),[西] 武幸四郎,202201010108
2,2,2,ラヴォルタ,牝4,55,横山武史,1:10.1,1.1/2,17.7,4.0,488(-2),[東] 田村康仁,202201010108
3,5,7,デイトンウェイ,牡4,54,小林凌大,1:10.3,1.1/4,36.0,9.0,506(-2),[西] 野中賢二,202201010108
4,8,12,アグリ,牡3,54,横山和生,1:10.4,1/2,2.9,2.0,488(+2),[西] 安田隆行,202201010108
5,3,3,スカイトレイル,牝3,50,角田大和,1:10.7,1.3/4,20.2,5.0,466(+8),[西] 西村真幸,202201010108
6,5,6,ナバロン,牡3,54,菱田裕二,1:10.9,1.1/4,8.6,3.0,478(-2),[西] 杉山佳明,202201010108
