着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師,race_id
1,3,3,ゼノヴァース,牡5,60.0,森一馬,3:05.5,,3.9,1.0,462(-2),[西] 小林真也,202204010101
2,7,12,マリオ,牡7,60.0,平沢健治,3:06.5,6,6.5,4.0,516(+12),[西] 安達昭夫,202204010101
3,8,14,ゲインスプレマシー,セ6,60.0,石神深一,3:06.6,3/4,15.1,8.0,482(-10),[東] 高柳瑞樹,202204010101
4,4,5,キーパンチ,牡5,60.0,田村太雅,3:06.7,3/4,110.0,14.0,468(+2),[西] 宮徹,202204010101
5,1,1,テイエムクロムシャ,牡6,60.0,植野貴也,3:06.9,1.1/4,13.2,6.0,494(+2),[西] 鈴木孝志,202204010101
6,7,11,テリオスルイ,牡4,59.0,中村将之,3:07.3,2.1/2,12.4,5.0,468(0),[西] 松下武士,202204010101
7,2,2,スズカフロンティア,牡8,60.0,北沢伸也,3:07.5,1,5.2,2.0,448(+4),[西] 橋田満,202204010101
8,6,9,テイエムコンドル,牡11,60.0,伴啓太,3:07.5,クビ,13.3,7.0,466(-8),[東] 石栗龍彦,202204010101
9,8,13,サンティーニ,セ7,60.0,五十嵐雄,3:07.8,1.3/4,18.5,9.0,492(-2),[東] 尾関知人,202204010101
10,5,8,マイネルパラディ,セ8,60.0,白浜雄造,3:08.4,3.1/2,19.5,10.0,484(+8),[西] 吉田直弘,202204010101
11,6,10,タマノジュメイラ,牝6,58.0,草野太郎,3:08.5,1/2,44.8,13.0,490(-8),[東] 伊藤大士,202204010101
12,5,7,サトノファイター,牡6,62.0,黒岩悠,3:09.3,5,6.0,3.0,480(-12),[西] 高橋亮,202204010101
13,3,4,クリエイトザライフ,セ6,57.0,小牧加矢,3:10.0,4,34.1,11.0,496(+4),[西] 吉岡辰弥,202204010101
中,4,6,テンザワールド,牡8,60.0,西谷誠,,,36.4,12.0,442(+6),[西] 大久保龍,202204010101
1,5,6,サパテアール,牡3,56.0,丹内祐次,1:54.8,,2.5,1.0,512(-2),[東] 畠山吉宏,202204010102
2,1,1,ベニッシモ,牡3,56.0,丸山元気,1:55.2,2,3.4,2.0,476(+4),[東] 伊藤大士,202204010102
3,4,4,アレマーナ,牝3,54.0,坂井瑠星,1:55.7,3,6.5,4.0,468(-4),[西] 松下武士,202204010102
4,8,12,ドンシャーク,牡3,54.0,小沢大仁,1:55.7,ハナ,5.0,3.0,492(+2),[西] 今野貞一,202204010102
5,2,2,リュッカクローナ,牡3,56.0,菱田裕二,1:55.8,3/4,11.6,5.0,458(0),[西] 吉田直弘,202204010102
6,6,9,クロノスミノル,牡3,54.0,角田大和,1:55.9,1/2,41.1,7.0,534(0),[西] 本田優,202204010102
7,7,10,リュウキュウカリー,牡3,56.0,木幡育也,1:56.1,1.1/2,89.6,10.0,446(-8),[東] 大江原哲,202204010102
8,4,5,ガンガディン,牡3,56.0,中井裕二,1:56.5,2.1/2,20.3,6.0,462(-8),[東] 田島俊明,202204010102
9,8,13,セリガチ,牡3,53.0,原優介,1:56.5,アタマ,479.4,13.0,454(-18),[東] 小桧山悟,202204010102
10,7,11,コールドブリュー,牡3,53.0,佐々木大,1:57.9,9,83.1,9.0,468(+2),[東] 蛯名利弘,202204010102
11,3,3,イザベルクイーン,牝3,50.0,今村聖奈,1:58.2,1.3/4,220.7,11.0,420(+4),[西] 寺島良,202204010102
12,5,7,グルメ,牡3,53.0,横山琉人,1:59.5,8,231.9,12.0,546(0),[東] 新開幸一,202204010102
13,6,8,フィングルブリッジ,牝3,54.0,西村淳也,1:59.6,3/4,42.6,8.0,482(0),[西] 杉山晴紀,202204010102
1,7,9,ベルウッドウズメ,牡3,55.0,秋山稔樹,1:11.8,,4.8,4.0,502(+2),[東] 本間忍,202204010103
2,2,2,ディーズルージュ,牝3,54.0,坂井瑠星,1:12.0,1.1/4,3.9,2.0,472(+6),[西] 岡田稲男,202204010103
3,8,12,クリーンジーニアス,牝3,54.0,西村淳也,1:12.0,ハナ,4.4,3.0,440(+2),[西] 荒川義之,202204010103
4,6,7,フラスティー,牝3,51.0,原優介,1:12.2,1.1/4,430.9,12.0,422(-6),[東] 小桧山悟,202204010103
5,6,8,イラーレ,牝3,53.0,亀田温心,1:12.6,2.1/2,2.7,1.0,428(-6),[西] 北出成人,202204010103
6,7,10,フエキ,牝3,54.0,木幡育也,1:12.7,3/4,10.9,5.0,506(-4),[東] 和田正一,202204010103
7,4,4,エンロサディラ,牝3,54.0,斎藤新,1:13.6,5,98.4,8.0,430(0),[東] 和田正一,202204010103
8,1,1,トキメキナイト,牡3,53.0,土田真翔,1:14.1,2.1/2,28.0,7.0,468(-6),[東] 武藤善則,202204010103
9,5,6,シゲルチータ,牡3,53.0,佐々木大,1:14.6,3,163.1,10.0,530(0),[東] 和田雄二,202204010103
10,3,3,マガーリ,牝3,52.0,松本大輝,1:14.7,クビ,24.6,6.0,490(+14),[西] 杉山佳明,202204010103
11,8,11,メイショウアカツキ,牡3,54.0,角田大和,1:14.7,ハナ,206.6,11.0,432(0),[西] 上村洋行,202204010103
12,5,5,クローマークス,牝3,52.0,小沢大仁,1:16.4,10,118.1,9.0,444(0),[西] 長谷川浩,202204010103
1,7,7,フォッサマグナ,セ6,60.0,伴啓太,3:06.7,,1.7,1.0,474(+6),[東] 黒岩陽一,202204010104
2,5,5,ブルームラッシュ,牡5,60.0,五十嵐雄,3:11.8,大,5.4,2.0,462(-2),[東] 尾関知人,202204010104
3,2,2,プンタアレナス,セ4,59.0,蓑島靖典,3:11.9,3/4,39.4,7.0,462(-10),[東] 古賀慎明,202204010104
4,1,1,カレンロマチェンコ,牡4,59.0,平沢健治,3:12.1,1.1/4,7.2,4.0,476(-4),[西] 高柳大輔,202204010104
5,4,4,ハイオソラール,牡6,60.0,北沢伸也,3:12.3,1.1/4,14.9,5.0,522(+2),[西] 木原一良,202204010104
6,7,8,ホウオウアクセル,牡6,60.0,高田潤,3:15.8,大,6.0,3.0,442(-10),[西] 宮徹,202204010104
7,6,6,レッドウッドヒル,牝4,57.0,石神深一,3:18.6,大,46.2,8.0,470(-4),[東] 武井亮,202204010104
8,3,3,グリュースゴット,牡4,59.0,白浜雄造,3:19.9,8,19.4,6.0,478(-8),[西] 佐々木晶,202204010104
9,8,9,シュッドヴァデル,牡6,60.0,草野太郎,3:20.3,2.1/2,154.3,10.0,510(0),[東] 松山将樹,202204010104
中,8,10,デルマシャンパン,牝7,58.0,上野翔,,,121.1,9.0,470(-14),[東] 鹿戸雄一,202204010104
1,8,15,アドマイヤグリーゼ,牝3,50.0,今村聖奈,2:01.3,,6.7,3.0,446(0),[西] 友道康夫,202204010105
2,3,5,ゲーテローズ,牝3,54.0,坂井瑠星,2:01.3,ハナ,2.1,1.0,434(-4),[西] 武英智,202204010105
3,6,11,ゴルトシュミーデ,牝3,54.0,西村淳也,2:01.5,1.1/2,26.3,7.0,430(-2),[西] 村山明,202204010105
4,8,16,ナイルプロジェクト,牝3,53.0,亀田温心,2:01.7,1.1/4,44.3,10.0,438(-4),[東] 高柳瑞樹,202204010105
5,3,6,マコトチガネマル,牝3,54.0,勝浦正樹,2:01.9,1.1/4,11.4,4.0,436(-4),[東] 村田一誠,202204010105
6,1,1,モンサンプリーモ,牝3,52.0,松本大輝,2:02.3,2.1/2,4.3,2.0,486(+6),[西] 中竹和也,202204010105
7,4,7,ピカケ,牝3,54.0,武藤雅,2:02.5,1,67.1,11.0,386(0),[東] 田島俊明,202204010105
8,7,14,エギーユ,牝3,54.0,斎藤新,2:02.6,3/4,28.3,8.0,480(-2),[西] 長谷川浩,202204010105
9,2,4,ヴァンシャンテ,牝3,51.0,横山琉人,2:02.8,3/4,15.5,6.0,426(0),[東] 武井亮,202204010105
10,5,10,オーラライト,牝3,54.0,岩田康誠,2:03.0,1.1/2,34.1,9.0,444(+8),[西] 西村真幸,202204010105
11,6,12,フロムワンズハート,牝3,54.0,三浦皇成,2:03.3,2,13.0,5.0,468(-14),[東] 田村康仁,202204010105
12,7,13,ツンデレ,牝3,54.0,荻野琢真,2:03.4,クビ,279.6,14.0,510(+2),[西] 牧田和弥,202204010105
13,5,9,ナチュラリスト,牝3,52.0,角田大和,2:04.3,5,166.0,13.0,528(0),[西] 松永幹夫,202204010105
14,2,3,エンチャント,牝3,54.0,荻野極,2:06.3,大,83.0,12.0,426(+14),[西] 高橋義忠,202204010105
15,1,2,アスカセオン,牝3,53.0,泉谷楓真,2:06.6,1.3/4,352.4,15.0,478(+12),[西] 千田輝彦,202204010105
16,4,8,ディリジェンス,牝3,52.0,小沢大仁,2:06.8,1.1/4,458.7,16.0,418(+12),[西] 橋口慎介,202204010105
1,4,8,ショウナンラタン,牡3,53.0,原優介,1:21.6,,8.2,4.0,476(0),[西] 西園正都,202204010106
2,6,12,ティーライトニング,牡3,56.0,岩田康誠,1:21.8,1.1/4,3.5,1.0,454(+2),[東] 辻哲英,202204010106
3,5,9,ソレントフレイバー,牡3,56.0,西村淳也,1:21.8,クビ,4.3,2.0,482(0),[東] 久保田貴,202204010106
4,6,11,バーニーフォールズ,牝3,54.0,菱田裕二,1:22.0,1.1/4,10.1,5.0,442(+2),[東] 加藤征弘,202204010106
5,7,14,ペララス,牡3,54.0,角田大和,1:22.2,1.1/4,40.4,9.0,464(-14),[西] 牧田和弥,202204010106
6,8,15,ルパルテール,牝3,54.0,小崎綾也,1:22.6,2,4.3,3.0,426(+6),[西] 新谷功一,202204010106
7,1,2,アイスケイブ,牝3,54.0,荻野極,1:22.8,1.1/4,53.8,11.0,430(-2),[東] 高柳瑞樹,202204010106
8,2,3,ラブシックボッサ,牡3,56.0,武藤雅,1:23.1,2,18.3,7.0,462(0),[東] 伊藤大士,202204010106
9,5,10,リノアラ,牝3,50.0,今村聖奈,1:23.2,3/4,87.4,13.0,434(0),[西] 今野貞一,202204010106
10,7,13,ウインソフィー,牝3,54.0,丹内祐次,1:23.4,1.1/4,12.8,6.0,420(-2),[東] 青木孝文,202204010106
11,4,7,ハーディローズ,牝3,54.0,三浦皇成,1:23.5,クビ,128.7,15.0,426(-6),[東] 岩戸孝樹,202204010106
12,2,4,フランセス,牝3,52.0,小沢大仁,1:23.5,アタマ,53.5,10.0,444(+2),[東] 相沢郁,202204010106
13,3,6,ジャンヌノツルギ,牝3,51.0,横山琉人,1:23.6,1,73.3,12.0,440(0),[東] 小笠倫弘,202204010106
14,1,1,フォルトゥナ,牡3,56.0,勝浦正樹,1:24.0,2.1/2,115.5,14.0,464(0),[東] 中野栄治,202204010106
15,3,5,アルモハバナ,牝3,54.0,坂井瑠星,1:24.9,5,21.0,8.0,466(0),[西] 石坂公一,202204010106
16,8,16,ブライトゴッデス,牝3,53.0,秋山稔樹,1:25.6,4,240.8,16.0,398(-8),[東] 岩戸孝樹,202204010106
1,2,2,プルモナリア,牝4,55.0,三浦皇成,1:54.8,,1.9,1.0,464(+4),[西] 中竹和也,202204010107
2,3,3,リキサンハート,牝4,55.0,菱田裕二,1:55.2,2.1/2,4.4,2.0,492(+2),[東] 奥平雅士,202204010107
3,8,8,キトゥンズマーチ,牝4,53.0,角田大和,1:55.9,4,6.8,3.0,466(+8),[西] 吉岡辰弥,202204010107
4,6,6,メンフィス,牝5,53.0,松本大輝,1:56.6,4,31.5,7.0,480(+6),[西] 杉山佳明,202204010107
5,4,4,ルミナスナイト,牝5,55.0,丹内祐次,1:56.8,1,10.6,5.0,496(0),[東] 新開幸一,202204010107
6,7,7,ジューンサクラ,牝4,53.0,小沢大仁,1:56.9,3/4,75.7,8.0,418(-6),[西] 荒川義之,202204010107
7,5,5,グッドインパクト,牝4,54.0,泉谷楓真,1:57.1,1.1/4,11.7,6.0,442(+2),[西] 宮徹,202204010107
8,1,1,コーンフィールド,牝4,55.0,西村淳也,1:57.2,1/2,6.9,4.0,492(-8),[東] 宗像義忠,202204010107
1,6,8,セブンサミット,牡4,57.0,岩田康誠,1:46.8,,6.2,4.0,502(-6),[西] 西村真幸,202204010108
2,5,5,グラヴィテ,牝4,54.0,秋山稔樹,1:46.9,1/2,17.6,6.0,470(-2),[西] 鮫島一歩,202204010108
3,4,4,ドラミモン,牡4,54.0,原優介,1:46.9,ハナ,5.0,3.0,448(+2),[東] 田村康仁,202204010108
