着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師,race_id
1,7,9,ナウズザタイム,牝3,54.0,岩田望来,1:55.8,,9.9,4.0,468(+6),[西] 安田隆行,202309010101
2,8,12,グァルジャー,牝3,54.0,坂井瑠星,1:56.0,1.1/4,1.7,1.0,458(-2),[西] 吉田直弘,202309010101
3,1,1,タガノアレハンドラ,牝3,54.0,鮫島克駿,1:56.6,3.1/2,4.9,3.0,480(-10),[西] 五十嵐忠,202309010101
4,4,4,エルーシア,牝3,54.0,森裕太朗,1:57.3,4,71.9,9.0,458(0),[西] 飯田雄三,202309010101
5,2,2,メメナビレラ,牝3,54.0,中井裕二,1:57.5,3/4,143.7,10.0,490(-10),[西] 長谷川浩,202309010101
6,6,8,モイル,牝3,52.0,角田大河,1:57.5,クビ,4.1,2.0,464(+4),[西] 角田晃一,202309010101
7,7,10,ウォータードラセナ,牝3,54.0,岩田康誠,1:57.6,3/4,29.4,5.0,510(-6),[西] 岡田稲男,202309010101
8,5,5,フローラサンライズ,牝3,51.0,川端海翼,1:57.8,1,184.7,12.0,444(0),[西] 浜田多実,202309010101
9,5,6,ビップピュアエース,牝3,54.0,団野大成,1:57.8,アタマ,33.1,7.0,434(-8),[東] 高柳瑞樹,202309010101
10,6,7,テイエムネイア,牝3,54.0,和田竜二,1:58.0,1.1/4,56.6,8.0,446(+2),[西] 木原一良,202309010101
11,3,3,ポルコスピーノ,牝3,54.0,川須栄彦,1:59.7,10,31.8,6.0,522(+4),[西] 梅田智之,202309010101
12,8,11,エクレアジョーイ,牝3,50.0,永島まな,2:02.9,大,152.9,11.0,462(0),[西] 石坂公一,202309010101
1,4,7,グランファラオ,牡3,56.0,坂井瑠星,1:13.3,,2.4,1.0,492(-8),[西] 高橋義忠,202309010102
2,1,1,ヨウシタンレイ,牝3,50.0,永島まな,1:13.3,アタマ,26.0,7.0,456(0),[西] 松永昌博,202309010102
3,2,4,フスカル,牡3,56.0,ムルザバ,1:13.5,1,8.4,4.0,488(+12),[西] 池添学,202309010102
4,4,8,ミヅキ,牝3,54.0,団野大成,1:13.9,2.1/2,238.3,13.0,426(0),[西] 笹田和秀,202309010102
5,6,11,ボタニカルガーデン,牝3,54.0,岩田望来,1:14.0,1/2,6.5,3.0,436(+6),[西] 四位洋文,202309010102
6,3,5,ヴァンサンブル,牡3,56.0,鮫島克駿,1:14.4,2.1/2,59.1,8.0,494(-8),[西] 中村直也,202309010102
7,2,3,パーペチュアル,牡3,56.0,国分恭介,1:14.5,3/4,223.5,12.0,490(+2),[西] 宮本博,202309010102
8,7,14,ハイインザスカイ,牡3,54.0,角田大河,1:14.5,ハナ,3.5,2.0,492(+4),[西] 五十嵐忠,202309010102
9,5,9,セントランサス,牝3,54.0,岩田康誠,1:14.7,3/4,59.3,10.0,390(-4),[西] 吉岡辰弥,202309010102
10,1,2,ウルトラワールド,牡3,56.0,川須栄彦,1:14.8,1/2,98.0,11.0,464(-8),[西] 中尾秀正,202309010102
11,8,15,カタリナマリー,牝3,54.0,福永祐一,1:14.9,1/2,17.6,6.0,484(+2),[西] 松永幹夫,202309010102
12,8,16,メロパール,牝3,54.0,古川吉洋,1:15.3,2.1/2,59.2,9.0,432(+2),[西] 本田優,202309010102
13,6,12,メイショウバラッド,牝3,54.0,和田竜二,1:15.3,クビ,9.1,5.0,478(+2),[西] 長谷川浩,202309010102
14,5,10,ニホンピログリット,牡3,56.0,城戸義政,1:15.5,1.1/4,284.5,14.0,544(0),[西] 安達昭夫,202309010102
15,3,6,コパノモンテカルロ,牡3,53.0,大久保友,1:16.1,3.1/2,655.2,16.0,460(+6),[西] 村山明,202309010102
16,7,13,アシャカデュラン,牡3,56.0,秋山真一,1:16.9,5,288.5,15.0,492(-2),[西] 大根田裕,202309010102
1,7,7,イエスウィズキャン,牡3,56.0,岩田康誠,1:55.9,,4.9,4.0,546(-4),[西] 松永昌博,202309010103
2,1,1,スナークドリアン,牡3,56.0,和田竜二,1:56.6,4,26.1,6.0,520(-2),[西] 川村禎彦,202309010103
3,5,5,セレクティオ,牡3,56.0,鮫島克駿,1:56.9,2,4.5,3.0,488(-2),[西] 橋口慎介,202309010103
4,8,9,ダノンヒューマ,牡3,56.0,坂井瑠星,1:57.4,2.1/2,2.6,1.0,474(+6),[西] 大久保龍,202309010103
