着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師,race_id
1,7,10,ツーピース,牝3,55.0,川須栄彦,1:13.0,,4.8,2.0,506(0),[西] 河嶋宏樹,202508010101
2,5,6,リードプリンシパル,牝3,55.0,荻野琢真,1:13.5,3,5.6,4.0,454(-4),[西] 藤沢則雄,202508010101
3,3,3,ヒットザグラウンド,牝3,55.0,岩田望来,1:14.1,3.1/2,28.6,7.0,440(0),[西] 四位洋文,202508010101
4,1,1,ミッシオーネ,牝3,55.0,坂井瑠星,1:14.2,クビ,5.0,3.0,400(-4),[西] 西園正都,202508010101
5,5,7,サントレッダー,牝3,53.0,吉村誠之,1:14.2,クビ,10.9,5.0,478(+4),[西] 野中賢二,202508010101
6,7,11,マローソ,牝3,55.0,岩田康誠,1:14.2,ハナ,13.7,6.0,494(+4),[西] 牧田和弥,202508010101
7,4,5,ベルヴィヴァン,牝3,55.0,西村淳也,1:14.3,クビ,2.4,1.0,484(+4),[西] 西村真幸,202508010101
8,4,4,ディライトベル,牝3,55.0,川又賢治,1:14.4,1/2,176.3,11.0,484(+4),[東] 竹内正洋,202508010101
9,2,2,スターアイズ,牝3,54.0,田口貫太,1:14.5,3/4,67.7,9.0,434(+18),[西] 小椋研介,202508010101
10,6,9,フェリスチカ,牝3,55.0,酒井学,1:14.6,クビ,380.0,13.0,392(-16),[西] 音無秀孝,202508010101
11,8,12,ソイジャガー,牝3,55.0,国分優作,1:14.6,アタマ,88.6,10.0,456(0),[西] 中尾秀正,202508010101
12,6,8,エルピーゾ,牝3,55.0,水口優也,1:14.8,1.1/4,192.5,12.0,486(0),[西] 安達昭夫,202508010101
13,8,13,プロメトル,牝3,55.0,ルメート,1:15.3,3,56.9,8.0,430(-4),[西] 武幸四郎,202508010101
1,6,6,コウジョリョウゾク,牡3,57.0,荻野琢真,1:54.6,,10.4,6.0,466(-2),[西] 牧田和弥,202508010102
