着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師,race_id
1,1,2,ルヴァンユニベール,牡3,57.0,高倉稜,1:54.8,,5.3,3.0,528(-2),[西] 北出成人,202507010101
2,5,10,リッター,牡3,57.0,松山弘平,1:55.1,1.1/2,3.2,2.0,518(-4),[西] 大久保龍,202507010101
3,2,4,チュウワチーフ,牡3,57.0,武豊,1:55.2,1/2,2.8,1.0,478(+4),[西] 小崎憲,202507010101
4,3,5,ザハント,牡3,57.0,坂井瑠星,1:56.3,7,5.6,4.0,494(+10),[西] 田中克典,202507010101
5,4,7,ミラクルブルー,牡3,57.0,鮫島克駿,1:56.4,クビ,18.3,6.0,482(+2),[西] 小林真也,202507010101
6,1,1,シャドーストライク,牡3,56.0,田口貫太,1:56.4,クビ,95.9,8.0,488(+6),[西] 茶木太樹,202507010101
7,6,11,ライジングショット,牡3,57.0,岩田望来,1:56.5,1/2,10.6,5.0,520(-2),[西] 吉村圭司,202507010101
8,7,13,スマートクラビ,牡3,55.0,吉村誠之,1:56.8,2,266.0,13.0,486(-4),[西] 中村直也,202507010101
9,3,6,チョウハチ,牡3,54.0,川端海翼,1:56.9,1/2,457.6,16.0,450(-2),[西] 高橋一哉,202507010101
10,4,8,ホワイトアッシュ,牡3,57.0,水口優也,1:57.2,1.1/2,314.3,15.0,494(0),[西] 宮地貴稔,202507010101
11,8,16,アラック,セ3,56.0,小沢大仁,1:57.2,アタマ,154.3,12.0,448(0),[西] 小椋研介,202507010101
12,5,9,ララアヴリル,牡3,57.0,中井裕二,1:57.5,1.3/4,125.7,10.0,484(+12),[西] 斉藤崇史,202507010101
13,7,14,ツーエムクロノス,牡3,57.0,太宰啓介,1:57.7,1.1/4,36.3,7.0,504(+4),[西] 本田優,202507010101
14,6,12,ルクスメンデス,牡3,57.0,国分優作,1:57.7,クビ,313.8,14.0,476(+8),[西] 小崎憲,202507010101
15,2,3,オオイリブクロ,牡3,55.0,永島まな,1:58.8,7,153.3,11.0,420(-2),[西] 高橋一哉,202507010101
16,8,15,タイキクロニクル,牡3,57.0,西村淳也,1:59.9,7,120.1,9.0,482(-4),[西] 高野友和,202507010101
1,2,4,セルズパワー,牡3,57.0,幸英明,1:26.1,,4.9,3.0,468(+4),[西] 牧田和弥,202507010102
2,8,15,ロードフロイデ,牡3,55.0,吉村誠之,1:26.3,1,4.5,1.0,452(+2),[西] 小栗実,202507010102
3,6,12,シュネーグロッケン,牡3,57.0,キング,1:26.3,ハナ,12.6,6.0,484(+10),[西] 清水久詞,202507010102
4,2,3,メイショウセオト,牝3,55.0,角田大和,1:26.8,3,31.6,10.0,470(0),[西] 笹田和秀,202507010102
5,5,10,ブライアーヒル,牝3,55.0,小崎綾也,1:26.8,ハナ,90.3,14.0,472(+16),[西] 中尾秀正,202507010102
6,4,8,タイセイバンクール,牡3,57.0,鮫島克駿,1:27.1,1.1/2,4.7,2.0,450(-6),[西] 西村真幸,202507010102
7,1,1,ナムラフィクサー,牡3,57.0,菱田裕二,1:27.1,クビ,60.6,12.0,438(+2),[西] 鈴木孝志,202507010102
8,4,7,ワイドメテオール,牡3,57.0,坂井瑠星,1:27.2,クビ,30.3,9.0,440(0),[西] 福永祐一,202507010102
9,7,13,スマートテンペスト,牡3,57.0,岩田望来,1:27.4,1.1/2,6.0,4.0,478(+2),[西] 西園翔太,202507010102
10,1,2,ユアマイスター,牝3,54.0,小沢大仁,1:27.5,クビ,156.2,15.0,428(-12),[西] 森田直行,202507010102
11,3,5,オーウェンズバレー,牡3,57.0,秋山稔樹,1:28.0,3,16.3,7.0,498(-2),[西] 宮徹,202507010102
12,8,16,ニシノエンデヴァー,牡3,54.0,川端海翼,1:28.1,1,250.8,16.0,464(+6),[西] 宮本博,202507010102
13,5,9,ピュアコレクション,牝3,55.0,西村淳也,1:28.2,3/4,68.1,13.0,444(-6),[西] 小椋研介,202507010102
14,3,6,グローサートラウム,牡3,57.0,中井裕二,1:28.3,1/2,29.1,8.0,486(+14),[西] 武幸四郎,202507010102
15,6,11,メイショウサトノヒ,牡3,56.0,田口貫太,1:28.4,アタマ,6.8,5.0,508(+2),[西] 長谷川浩,202507010102
16,7,14,エニーサンダー,牡3,57.0,北村友一,1:29.1,4,48.4,11.0,442(+6),[西] 高橋一哉,202507010102
1,3,5,ハグ,牡3,55.0,高杉吏麒,2:02.2,,1.5,1.0,510(-4),[西] 藤岡健一,202507010103
2,8,16,アメリカンバー,牡3,57.0,亀田温心,2:02.2,クビ,7.0,3.0,500(+4),[西] 宮地貴稔,202507010103
3,7,13,コズミックダンサー,牡3,56.0,田口貫太,2:02.2,アタマ,26.8,6.0,480(+2),[西] 藤原英昭,202507010103
4,1,2,タガノマルアフ,牡3,57.0,角田大和,2:02.7,3,148.5,12.0,494(-2),[西] 角田晃一,202507010103
5,2,4,ウィスパーボイス,牡3,54.0,鷲頭虎太,2:02.8,1/2,251.5,15.0,480(+20),[西] 千田輝彦,202507010103
6,5,9,カルテシウス,牡3,57.0,川田将雅,2:02.8,クビ,4.5,2.0,480(+10),[西] 福永祐一,202507010103
7,6,12,サイモンシュバリエ,牡3,57.0,川須栄彦,2:02.9,1/2,47.2,7.0,484(+4),[西] 梅田智之,202507010103
8,7,14,アスクデッドヒート,牡3,54.0,古川奈穂,2:03.3,2.1/2,52.1,9.0,488(-6),[西] 矢作芳人,202507010103
9,4,7,ハウリングウィンド,牡3,57.0,北村友一,2:03.3,クビ,79.5,10.0,506(-4),[西] 安田翔伍,202507010103
10,6,11,パーフェクト,牡3,55.0,吉村誠之,2:03.7,2,105.8,11.0,500(+18),[西] 松下武士,202507010103
11,3,6,テクノグルーヴ,牡3,57.0,幸英明,2:03.8,3/4,26.3,5.0,484(0),[西] 宮本博,202507010103
12,8,15,ディープカインズ,牡3,57.0,太宰啓介,2:04.2,2.1/2,179.7,14.0,432(-2),[西] 本田優,202507010103
13,2,3,セイノスケ,牡3,53.0,河原田菜,2:04.7,3,393.3,16.0,452(-2),[西] 清水久詞,202507010103
14,5,10,ガンナール,牡3,57.0,Ｍ．デム,2:05.1,2.1/2,19.2,4.0,484(-6),[西] 宮本博,202507010103
15,1,1,エッグハント,牡3,57.0,鮫島克駿,2:05.2,クビ,179.4,13.0,492(+2),[西] 小林真也,202507010103
16,4,8,ピコビジュー,牡3,57.0,西村淳也,2:05.2,アタマ,48.1,8.0,510(-6),[西] 高橋一哉,202507010103
1,1,1,ソルナシエンテ,牡3,55.0,高杉吏麒,1:55.0,,4.4,2.0,506(0),[西] 藤岡健一,202507010104
2,3,5,ビービーバザーク,牡3,57.0,浜中俊,1:55.5,3,6.4,4.0,488(0),[西] 武幸四郎,202507010104
3,8,16,ラファル,牡3,57.0,武豊,1:55.8,2,3.1,1.0,510(0),[西] 田中克典,202507010104
4,1,2,エイシンアニーモ,牡3,55.0,永島まな,1:55.8,クビ,14.7,5.0,492(0),[西] 高橋康之,202507010104
5,2,3,ルシタニア,牡3,57.0,菱田裕二,1:56.0,1,34.0,9.0,474(0),[西] 武幸四郎,202507010104
6,6,11,テスティモーネ,牡3,57.0,国分優作,1:56.3,2,40.1,11.0,512(0),[西] 大根田裕,202507010104
7,2,4,ペルティナクス,牡3,55.0,吉村誠之,1:57.2,5,17.9,7.0,522(0),[西] 池江泰寿,202507010104
8,3,6,ステイトゥルー,牡3,54.0,今村聖奈,1:57.7,3,54.1,12.0,460(0),[西] 寺島良,202507010104
9,4,8,カーボナード,牡3,57.0,幸英明,1:58.2,3,38.4,10.0,456(0),[西] 斉藤崇史,202507010104
10,7,14,ダノンポセイドン,牡3,57.0,ルメート,1:58.2,ハナ,15.2,6.0,508(0),[西] 坂口智康,202507010104
11,8,15,リアルスター,牡3,56.0,田口貫太,1:58.3,1/2,5.1,3.0,540(0),[西] 大橋勇樹,202507010104
12,7,13,フガート,牡3,57.0,松山弘平,1:58.9,3.1/2,25.3,8.0,506(0),[西] 坂口智康,202507010104
13,5,10,ワンダーティコ,牝3,55.0,中井裕二,1:59.0,クビ,226.3,16.0,470(0),[西] 森田直行,202507010104
14,4,7,テーオーウィルソン,牡3,57.0,古川吉洋,1:59.5,3,83.7,13.0,538(0),[西] 宮徹,202507010104
15,6,12,テイエムタワードン,牡3,57.0,太宰啓介,1:59.9,2,185.8,15.0,528(0),[西] 畑端省吾,202507010104
16,5,9,カシノエイサップ,牡3,54.0,川端海翼,2:03.6,大,150.1,14.0,490(0),[西] 藤沢則雄,202507010104
1,2,4,ジーティーアダマン,牡3,57.0,松山弘平,2:01.7,,4.6,2.0,502(0),[西] 上村洋行,202507010105
2,8,18,リバーバレイト,牡3,57.0,キング,2:02.0,2,3.1,1.0,462(0),[東] 堀宣行,202507010105
3,8,17,レクスノヴァス,牡3,57.0,岩田望来,2:02.2,1,6.2,3.0,486(0),[西] 上村洋行,202507010105
4,4,7,トッピボーン,牡3,57.0,武豊,2:02.3,1/2,29.2,8.0,464(0),[西] 笹田和秀,202507010105
5,3,6,ブラックダイヤ,牝3,54.0,小沢大仁,2:02.3,クビ,40.9,12.0,440(0),[西] 杉山晴紀,202507010105
