着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師,race_id
1,8,13,フォッサマグナ,セ7,62.0,伴啓太,3:05.8,,1.6,1.0,488(+2),[東] 黒岩陽一,202304010101
2,7,11,ショウナンアストラ,牡5,60.0,五十嵐雄,3:06.6,5,9.6,4.0,478(-10),[東] 西田雄一,202304010101
3,3,3,シャンボールナイト,セ8,60.0,石神深一,3:06.6,アタマ,24.1,8.0,470(-8),[東] 武井亮,202304010101
4,8,14,スマッシャー,牡5,60.0,平沢健治,3:07.0,2,6.6,2.0,496(0),[西] 吉岡辰弥,202304010101
5,6,10,スーパーフェイバー,牡5,60.0,小野寺祐,3:07.5,3.1/2,21.1,6.0,506(0),[西] 西園翔太,202304010101
6,1,1,ファルヴォーレ,牡5,60.0,難波剛健,3:07.6,クビ,8.8,3.0,470(+6),[西] 高橋義忠,202304010101
7,3,4,レザネフォール,牡6,58.0,小牧加矢,3:07.6,1/2,16.5,5.0,476(+2),[西] 池江泰寿,202304010101
8,5,7,ヤップヤップヤップ,牡7,60.0,江田勇亮,3:07.7,1/2,38.5,10.0,462(-2),[東] 宗像義忠,202304010101
9,6,9,セルリアンルネッタ,牡4,59.0,熊沢重文,3:08.7,6,141.0,12.0,460(+6),[西] 高橋康之,202304010101
10,4,6,フィードバック,セ7,60.0,森一馬,3:09.8,7,53.1,11.0,492(0),[東] 鈴木伸尋,202304010101
11,7,12,テイエムクロムシャ,牡7,60.0,小坂忠士,3:09.9,1/2,22.6,7.0,484(+14),[西] 鈴木孝志,202304010101
12,5,8,タンジェントアーク,牡5,60.0,大江原圭,3:09.9,ハナ,196.0,13.0,448(-4),[東] 田村康仁,202304010101
13,2,2,ゲインスプレマシー,セ7,60.0,上野翔,3:11.0,7,31.5,9.0,480(-2),[東] 高柳瑞樹,202304010101
14,4,5,アームストロング,牡5,57.0,水沼元輝,3:13.0,大,229.8,14.0,504(+2),[東] 南田美知,202304010101
1,3,3,ノーブルマルシェ,牝3,52.0,小林脩斗,1:56.0,,5.6,2.0,446(0),[東] 久保田貴,202304010102
2,2,2,スペシャリスト,牝3,50.0,小林美駒,1:56.0,クビ,1.7,1.0,444(-6),[東] 手塚貴久,202304010102
3,5,7,テイケイヴィーノ,牝3,50.0,永島まな,1:56.3,1.3/4,21.8,6.0,412(-16),[西] 荒川義之,202304010102
4,7,12,オズモポリタン,牝3,54.0,菱田裕二,1:56.6,1.3/4,6.4,3.0,482(-6),[東] 本間忍,202304010102
5,8,13,ウィンクルティアラ,牝3,53.0,秋山稔樹,1:56.7,1/2,38.9,8.0,432(-2),[東] 辻哲英,202304010102
6,6,10,アルマケルブ,牝3,54.0,富田暁,1:57.7,6,109.1,11.0,450(-12),[西] 川村禎彦,202304010102
7,5,8,シュテルンロット,牝3,51.0,今村聖奈,1:57.7,アタマ,27.7,7.0,428(+4),[西] 奥村豊,202304010102
8,6,9,フジブルーダイヤ,牝3,51.0,土田真翔,1:57.8,クビ,255.9,13.0,444(-2),[東] 尾形和幸,202304010102
9,7,11,パララヴィクトリア,牝3,54.0,小崎綾也,1:58.0,1.1/4,56.0,10.0,444(0),[西] 寺島良,202304010102
10,4,6,ジーファー,牝3,54.0,川又賢治,1:58.1,1,53.0,9.0,458(-4),[西] 寺島良,202304010102
11,1,1,イゾレエオリア,牝3,54.0,杉原誠人,1:58.3,3/4,11.4,4.0,444(-12),[東] 伊藤大士,202304010102
12,4,5,シャイナライ,牝3,54.0,黛弘人,1:58.9,4,366.0,14.0,432(-6),[東] 宗像義忠,202304010102
13,3,4,ロマンチックタイム,牝3,53.0,松本大輝,1:59.0,1/2,169.6,12.0,502(-4),[東] 中川公成,202304010102
14,8,14,ノヴェント,牝3,54.0,吉田隼人,2:01.1,大,11.4,5.0,432(-6),[西] 武幸四郎,202304010102
1,2,2,サルトルーヴィル,牡3,56.0,石橋脩,1:12.6,,19.1,6.0,492(+2),[東] 牧光二,202304010103
2,5,8,メモリーグラス,牡3,56.0,菱田裕二,1:12.7,3/4,12.3,5.0,458(0),[東] 松永康利,202304010103
3,6,10,メイショウライジン,牡3,56.0,西村淳也,1:12.8,クビ,10.8,4.0,486(0),[西] 荒川義之,202304010103
4,8,15,サブエガ,牡3,52.0,永島まな,1:12.8,クビ,4.9,3.0,488(0),[西] 池江泰寿,202304010103
5,3,4,フスカル,牡3,53.0,今村聖奈,1:12.9,クビ,2.0,1.0,484(+2),[西] 池添学,202304010103
6,5,9,スミダカチドキ,牡3,56.0,斎藤新,1:13.0,3/4,60.1,10.0,476(0),[東] 斎藤誠,202304010103
7,6,11,エクトゥシュタール,牡3,56.0,柴田大知,1:13.0,アタマ,4.3,2.0,454(+4),[東] 和田雄二,202304010103
8,7,12,モイスチャー,牡3,53.0,水沼元輝,1:13.5,3,40.1,7.0,476(0),[東] 加藤和宏,202304010103
9,4,7,ヤマニンファシオ,牡3,56.0,勝浦正樹,1:13.9,2.1/2,44.6,8.0,454(-4),[東] 村田一誠,202304010103
10,4,6,フッカツラヴ,牝3,51.0,土田真翔,1:14.2,1.3/4,335.7,15.0,414(+4),[東] 尾形和幸,202304010103
11,8,14,カゼノハクシュウ,牡3,52.0,古川奈穂,1:14.2,ハナ,66.9,11.0,448(-10),[東] 上原博之,202304010103
12,7,13,ホウオウレンジャー,牡3,55.0,泉谷楓真,1:14.3,1/2,210.0,13.0,458(-10),[西] 宮徹,202304010103
13,2,3,ロゴマジック,牡3,52.0,小林美駒,1:14.7,2.1/2,133.1,12.0,430(-4),[東] 武市康男,202304010103
14,3,5,ランベントライト,牝3,53.0,松本大輝,1:15.9,7,55.6,9.0,432(-2),[東] 田島俊明,202304010103
15,1,1,アカツキロットリー,牡3,55.0,秋山稔樹,1:17.9,大,267.7,14.0,434(0),[東] 蛯名利弘,202304010103
1,8,10,ドラウプニル,セ7,60.0,伴啓太,3:09.0,,3.4,1.0,492(+2),[東] 黒岩陽一,202304010104
2,8,11,サイード,セ4,57.0,小牧加矢,3:09.8,5,6.8,4.0,494(-6),[西] 角田晃一,202304010104
3,2,2,ヒルノダカール,牡7,60.0,小坂忠士,3:11.5,10,4.3,2.0,522(+6),[西] 北出成人,202304010104
4,6,6,プリンスオブジオン,牡6,60.0,小野寺祐,3:13.8,大,22.3,8.0,470(+6),[西] 服部利之,202304010104
5,4,4,ダノンフロンティア,牡4,59.0,西谷誠,3:13.8,クビ,5.8,3.0,492(-10),[西] 中内田充,202304010104
6,1,1,トーセンマッシモ,セ5,60.0,上野翔,3:14.8,6,32.5,9.0,482(-18),[東] 小野次郎,202304010104
7,7,9,ミツカネプリンス,牡6,60.0,五十嵐雄,3:15.2,2.1/2,7.7,5.0,452(-2),[東] 鈴木伸尋,202304010104
8,3,3,ミルトボス,牡5,60.0,平沢健治,3:19.4,大,38.7,10.0,502(-4),[西] 中竹和也,202304010104
9,7,8,フィストバンプ,牡7,60.0,石神深一,3:22.2,大,8.5,6.0,490(-4),[東] 松永康利,202304010104
10,5,5,インディペンデント,牡5,60.0,井上敏樹,3:23.9,10,14.7,7.0,458(-2),[東] 武藤善則,202304010104
取,6,7,ツカサ,セ5,60.0,蓑島靖典,,,---,,計不,[東] 天間昭一,202304010104
1,5,10,ウイニングライブ,牡3,56.0,丸山元気,2:01.2,,16.9,7.0,436(-6),[東] 金成貴史,202304010105
2,3,6,ラバタンシン,牡3,53.0,今村聖奈,2:01.4,1.1/4,6.6,5.0,474(-16),[西] 寺島良,202304010105
3,2,4,プラニスフェリオ,牡3,56.0,西村淳也,2:01.6,3/4,4.9,2.0,498(-4),[西] 牧浦充徳,202304010105
4,7,13,ウインエクラン,牡3,56.0,丹内祐次,2:01.9,2,18.8,8.0,462(-10),[西] 宮徹,202304010105
5,2,3,ワイウン,牝3,50.0,小林美駒,2:02.0,クビ,198.7,14.0,400(-4),[東] 尾形和幸,202304010105
6,3,5,オークアンドモルト,牝3,51.0,佐々木大,2:02.0,クビ,3.9,1.0,444(+14),[東] 武井亮,202304010105
7,8,15,カズキ,牡3,54.0,藤田菜七,2:02.5,3,59.0,11.0,436(+4),[西] 梅田智之,202304010105
8,6,12,デオヴォレンティ,牝3,53.0,秋山稔樹,2:03.1,3.1/2,236.8,15.0,442(+2),[東] 蛯名利弘,202304010105
9,8,16,ミラクルブラウン,牡3,56.0,菊沢一樹,2:03.2,1/2,56.0,10.0,424(+6),[東] 堀内岳志,202304010105
10,1,1,ニシノオスマン,牡3,56.0,菱田裕二,2:03.2,クビ,13.4,6.0,480(+6),[西] 橋口慎介,202304010105
11,7,14,キャラメルシフォン,牝3,50.0,永島まな,2:03.5,1.1/2,5.6,4.0,480(+2),[東] 林徹,202304010105
12,1,2,アイラブユー,牝3,54.0,杉原誠人,2:03.5,ハナ,151.9,13.0,418(+2),[東] 蛯名利弘,202304010105
13,4,8,マツリダパーチェ,牡3,53.0,西塚洸二,2:03.7,1,40.8,9.0,422(-2),[東] 水野貴広,202304010105
14,4,7,ヒラリ,牝3,54.0,吉田隼人,2:03.8,1,5.3,3.0,460(-6),[西] 武幸四郎,202304010105
15,6,11,ルビコントレイル,牡3,55.0,横山琉人,2:04.2,2.1/2,258.2,16.0,436(-4),[東] 鈴木慎太,202304010105
16,5,9,テルテ,牝3,54.0,嶋田純次,2:05.4,7,61.4,12.0,422(-2),[東] 手塚貴久,202304010105
1,7,14,サンタアナテソーロ,牝3,54.0,丹内祐次,0:55.6,,3.8,1.0,386(-4),[東] 栗田徹,202304010106
2,7,13,シャトーボビー,牡3,56.0,西村淳也,0:55.8,1,4.6,3.0,464(+2),[東] 菊川正達,202304010106
3,8,15,シンリンゲンカイ,牝3,50.0,小林美駒,0:55.8,クビ,4.2,2.0,446(-10),[東] 石栗龍彦,202304010106
4,2,4,オコジュ,牝3,54.0,岩部純二,0:56.5,4,20.1,7.0,452(+2),[東] 中野栄治,202304010106
5,3,6,ラブスレンダー,牝3,50.0,永島まな,0:56.6,3/4,8.0,5.0,432(-8),[東] 田中剛,202304010106
6,6,12,サンライズプライド,牡3,53.0,川端海翼,0:56.8,1,6.2,4.0,504(-6),[西] 安田隆行,202304010106
7,5,10,カタリナマリー,牝3,51.0,佐々木大,0:56.9,3/4,10.5,6.0,468(-16),[西] 松永幹夫,202304010106
8,6,11,ジャストザヴァルス,牝3,50.0,古川奈穂,0:57.0,クビ,30.3,8.0,410(-8),[西] 牧浦充徳,202304010106
9,8,16,シナモン,牝3,54.0,柴田大知,0:57.3,2,62.3,10.0,386(-2),[東] 伊藤大士,202304010106
10,4,8,ジュエルアズギフト,牡3,56.0,鮫島良太,0:58.1,5,116.7,11.0,478(0),[西] 牧浦充徳,202304010106
11,5,9,ドンタッチミー,牝3,53.0,松本大輝,0:58.3,1.1/4,347.5,16.0,422(+12),[東] 佐藤吉勝,202304010106
12,1,1,ダルマジュン,牝3,51.0,水沼元輝,0:58.4,1/2,238.3,14.0,410(-8),[東] 萱野浩二,202304010106
13,1,2,トゥルーキーノ,牡3,56.0,菊沢一樹,0:58.6,1.1/4,33.4,9.0,454(+2),[東] 堀内岳志,202304010106
14,3,5,キラールージュ,牝3,52.0,小林脩斗,0:58.7,1/2,316.8,15.0,416(-2),[東] 粕谷昌央,202304010106
15,2,3,キイチゴ,牝3,54.0,嶋田純次,0:59.9,7,222.6,13.0,392(-4),[東] 石毛善彦,202304010106
16,4,7,ミラクルレインボー,牝3,54.0,武藤雅,1:01.4,9,159.2,12.0,426(-8),[東] 水野貴広,202304010106
1,4,5,アルムブラーヴ,牡4,58.0,西村淳也,1:53.5,,1.5,1.0,484(0),[西] 川村禎彦,202304010107
2,7,12,セザンテイオー,牡5,54.0,古川奈穂,1:55.0,9,88.3,10.0,500(0),[東] 浅野洋一,202304010107
3,5,7,タマモエース,牡4,57.0,横山琉人,1:55.2,1.1/4,16.4,5.0,478(0),[西] 川村禎彦,202304010107
4,3,3,モズミツボシ,牡4,55.0,今村聖奈,1:55.2,クビ,12.3,4.0,526(-16),[西] 飯田祐史,202304010107
5,7,11,セイウンガレオン,牡4,56.0,小林脩斗,1:55.2,ハナ,49.0,9.0,532(-6),[東] 奥平雅士,202304010107
6,6,9,ワンダーウォール,牡5,57.0,秋山稔樹,1:55.7,3,316.4,14.0,478(+4),[東] 鈴木慎太,202304010107
7,6,10,ディーエスボンバー,牡5,57.0,泉谷楓真,1:55.8,1/2,119.8,11.0,506(-4),[西] 岡田稲男,202304010107
8,3,4,レッドヴァイス,セ5,55.0,鷲頭虎太,1:55.9,1/2,46.8,8.0,502(-2),[西] 高橋義忠,202304010107
9,8,13,サクラソーレ,牡4,55.0,佐々木大,1:55.9,ハナ,6.9,2.0,468(-2),[東] 堀宣行,202304010107
10,1,1,レイリ,牡4,58.0,富田暁,1:56.0,1/2,24.0,7.0,532(-4),[東] 上原佑紀,202304010107
11,4,6,キングロコマイカイ,牡4,55.0,大久保友,1:56.1,アタマ,19.8,6.0,490(+2),[西] 須貝尚介,202304010107
12,5,8,ヴラディア,牡4,56.0,小林凌大,1:56.1,ハナ,148.5,12.0,478(+2),[東] 小西一男,202304010107
