着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師,race_id
1,5,5,テイクザワールド,牡3,56.0,岩田康誠,1:48.9,,4.5,2.0,448(+2),[西] 安田翔伍,202210010101
2,4,4,ルイナールカズマ,牡3,56.0,吉田隼人,1:48.9,クビ,1.9,1.0,488(+2),[西] 奥村豊,202210010101
3,6,6,メイショウタイゲイ,牡3,56.0,西村淳也,1:49.4,3,6.7,4.0,450(0),[西] 荒川義之,202210010101
4,2,2,テイエムシニスター,牡3,56.0,古川吉洋,1:50.0,3.1/2,28.6,6.0,498(+12),[西] 木原一良,202210010101
5,1,1,サンライズスコール,牡3,54.0,小沢大仁,1:50.1,クビ,9.9,5.0,440(-2),[西] 石坂公一,202210010101
6,8,9,リュウノイチモンジ,牡3,53.0,西谷凜,1:50.3,1.1/2,254.6,9.0,480(-12),[西] 牧田和弥,202210010101
7,3,3,シュルヴィーヴル,牡3,53.0,角田大和,1:50.6,1.3/4,50.9,7.0,494(+2),[西] 上村洋行,202210010101
8,8,8,ディーノエナジー,牡3,56.0,横山和生,1:50.8,1.1/4,4.8,3.0,488(-2),[西] 清水久詞,202210010101
9,7,7,サンライズクレイ,牡3,56.0,斎藤新,1:52.8,大,119.7,8.0,520(+10),[西] 浜田多実,202210010101
1,7,14,グラスミヤラビ,牝3,54.0,横山和生,1:08.2,,3.8,2.0,486(-4),[東] 大江原哲,202210010102
2,1,2,アスターディゴン,牡3,56.0,吉田隼人,1:08.4,1.1/2,3.3,1.0,466(+2),[西] 中竹和也,202210010102
3,1,1,ムーンガーデン,牡3,56.0,鮫島克駿,1:08.5,3/4,48.8,10.0,466(+10),[西] 川村禎彦,202210010102
4,8,16,スンヌンタイ,牝3,54.0,丹内祐次,1:08.6,クビ,8.7,5.0,504(+2),[東] 岩戸孝樹,202210010102
5,4,8,ニューノーマル,牝3,54.0,浜中俊,1:08.9,1.3/4,8.3,4.0,448(-2),[西] 武幸四郎,202210010102
6,6,12,デフィデリ,牡3,56.0,勝浦正樹,1:09.2,1.3/4,18.5,7.0,468(+4),[東] 南田美知,202210010102
7,2,4,キッショウ,牝3,54.0,藤岡佑介,1:09.2,ハナ,5.0,3.0,416(-6),[西] 奥村豊,202210010102
8,3,5,オリンピッカー,牡3,56.0,藤岡康太,1:09.2,ハナ,13.0,6.0,474(+2),[西] 藤岡健一,202210010102
9,2,3,ヴェラフォルツァ,牝3,51.0,小林凌大,1:09.4,1,26.2,8.0,442(+10),[西] 西園正都,202210010102
10,7,13,インペリアス,牝3,54.0,岩田康誠,1:09.4,クビ,42.5,9.0,438(-6),[西] 浅見秀一,202210010102
11,4,7,カナリコッタゲーム,牝3,53.0,秋山稔樹,1:09.6,1.1/2,88.3,11.0,420(+4),[東] 宗像義忠,202210010102
12,3,6,ナンゴクハナネット,牝3,51.0,松本大輝,1:09.6,ハナ,469.4,17.0,394(+4),[東] 天間昭一,202210010102
13,5,10,パーシスト,牝3,54.0,城戸義政,1:09.7,1/2,495.0,18.0,394(0),[西] 畑端省吾,202210010102
14,8,17,メイショウオリジン,牝3,52.0,小沢大仁,1:09.7,クビ,206.8,16.0,474(-4),[西] 松永昌博,202210010102
15,8,18,ロカビリークイッフ,牡3,56.0,西村淳也,1:10.0,1.1/2,108.6,12.0,474(-2),[西] 音無秀孝,202210010102
16,7,15,ヴィーガン,牝3,54.0,荻野琢真,1:10.0,クビ,114.0,14.0,434(+4),[西] 今野貞一,202210010102
17,5,9,エンバース,牡3,53.0,角田大和,1:10.0,アタマ,176.5,15.0,478(+4),[西] 高橋亮,202210010102
18,6,11,エイブルマン,牡3,56.0,斎藤新,1:10.5,3,109.5,13.0,460(+16),[西] 森田直行,202210010102
1,5,7,ミツカネプルート,牝3,53.0,秋山稔樹,1:00.0,,15.1,4.0,442(0),[東] 清水英克,202210010103
2,7,12,ギンノカミカザリ,牝3,54.0,斎藤新,1:00.3,1.3/4,17.4,6.0,458(+8),[西] 加用正,202210010103
3,6,10,アスターヘキサゴン,牡3,56.0,吉田隼人,1:00.3,クビ,1.5,1.0,476(0),[西] 中竹和也,202210010103
4,3,3,オーシンプラス,牡3,53.0,松本大輝,1:00.6,1.3/4,68.3,10.0,472(+8),[西] 宮徹,202210010103
5,4,5,コウユーママニニテ,牝3,52.0,小沢大仁,1:00.7,クビ,43.1,7.0,440(-6),[東] 竹内正洋,202210010103
6,3,4,アドレマピュス,牝3,52.0,藤田菜七,1:01.3,3.1/2,16.0,5.0,460(-4),[東] 田村康仁,202210010103
7,5,8,ロサロッサーナ,牝3,51.0,小林凌大,1:01.3,クビ,6.7,3.0,496(0),[東] 伊藤圭三,202210010103
8,1,1,パパリーヌキャスト,牝3,51.0,原優介,1:01.5,1.1/2,49.8,9.0,468(0),[東] 大竹正博,202210010103
9,7,11,メイショウアルル,牝3,54.0,藤岡佑介,1:01.6,クビ,131.3,11.0,408(-12),[西] 笹田和秀,202210010103
10,8,14,ハルキファイト,牝3,54.0,鮫島克駿,1:01.8,1.1/2,46.1,8.0,462(-2),[西] 浅見秀一,202210010103
11,8,13,ヒロシゲダンディ,牡3,56.0,藤岡康太,1:01.9,3/4,5.8,2.0,514(+14),[西] 北出成人,202210010103
12,6,9,モンテラパン,牡3,53.0,西谷凜,1:02.0,1/2,257.6,13.0,444(-12),[西] 池添兼雄,202210010103
13,2,2,エウゼーン,牝3,54.0,丹内祐次,1:02.3,1.3/4,147.2,12.0,414(-2),[西] 梅田智之,202210010103
14,4,6,ウィラメット,牝3,54.0,黛弘人,1:02.5,1.1/4,340.4,14.0,446(+26),[東] 浅野洋一,202210010103
1,2,2,リバーシブルレーン,牡6,60.0,石神深一,3:06.9,,5.5,2.0,442(+20),[東] 辻哲英,202210010104
2,5,5,アメリカズカップ,牡8,60.0,平沢健治,3:07.1,1.1/2,1.7,1.0,452(0),[西] 音無秀孝,202210010104
3,6,8,グランドレグルス,牡4,59.0,上野翔,3:07.3,1.1/4,129.5,11.0,462(-4),[東] 伊藤伸一,202210010104
4,7,10,フォッサマグナ,セ6,60.0,大江原圭,3:07.4,クビ,18.7,7.0,468(-8),[東] 藤沢和雄,202210010104
5,8,11,ニホンピロヘイロー,牝7,58.0,熊沢重文,3:08.1,4,10.0,5.0,462(-6),[西] 服部利之,202210010104
6,6,7,プレイヤーサムソン,セ9,60.0,五十嵐雄,3:08.7,3.1/2,53.0,9.0,476(-8),[東] 大和田成,202210010104
7,1,1,グリニッチヴィレジ,牝9,58.0,伴啓太,3:09.2,3.1/2,9.2,4.0,452(+8),[東] 天間昭一,202210010104
8,4,4,インビジブルレイズ,牡8,60.0,難波剛健,3:09.6,2,8.8,3.0,474(-2),[西] 吉村圭司,202210010104
9,7,9,バーンスター,牡6,60.0,黒岩悠,3:09.7,3/4,18.3,6.0,504(+8),[西] 谷潔,202210010104
10,8,12,ダイメイコスモス,牡6,60.0,植野貴也,3:11.0,8,39.7,8.0,494(-8),[西] 森田直行,202210010104
11,5,6,ミリタリータンゴ,牡4,59.0,白浜雄造,3:11.9,5,73.1,10.0,462(+4),[西] 中竹和也,202210010104
12,3,3,シゲルシイタケ,牡7,60.0,草野太郎,3:12.7,5,155.0,12.0,464(-4),[東] 中野栄治,202210010104
1,3,3,スズカフロンティア,牡8,60.0,北沢伸也,3:08.5,,1.1,1.0,444(-4),[西] 橋田満,202210010105
2,7,7,テリオスルイ,牡4,59.0,中村将之,3:08.6,1,12.2,4.0,468(-6),[西] 松下武士,202210010105
3,6,6,ショウナンパンサー,セ6,60.0,難波剛健,3:09.4,5,15.1,5.0,510(+12),[西] 梅田智之,202210010105
4,5,5,ブルベアペスカ,牡6,60.0,植野貴也,3:11.2,大,7.9,2.0,488(0),[西] 谷潔,202210010105
5,1,1,ワンダースキル,牡4,59.0,森一馬,3:14.2,大,10.8,3.0,456(-6),[西] 斉藤崇史,202210010105
