着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師,race_id
1,3,6,スート,牡3,57.0,富田暁,1:26.7,,3.6,2.0,460(0),[東] 林徹,202407010101
2,5,10,ミルトコルサ,牡3,57.0,団野大成,1:27.2,3,6.1,4.0,480(+4),[西] 杉山佳明,202407010101
3,5,9,マイフォーエバー,牡3,57.0,藤岡康太,1:27.3,クビ,2.7,1.0,484(-2),[東] 矢野英一,202407010101
4,7,14,レイム,牝3,51.0,河原田菜,1:27.5,1.1/2,68.0,9.0,426(+2),[西] 高橋康之,202407010101
5,4,8,アストラカ,牡3,57.0,吉田隼人,1:27.6,1/2,4.2,3.0,494(+4),[西] 田中克典,202407010101
6,3,5,ヴィーリヤ,牝3,52.0,永島まな,1:27.7,3/4,29.4,7.0,526(0),[東] 辻哲英,202407010101
7,8,15,ウヌボレヤサン,牡3,55.0,西塚洸二,1:27.9,1.1/4,139.4,12.0,420(-8),[東] 本間忍,202407010101
8,7,13,ビロウィダダ,牡3,57.0,荻野極,1:28.2,2,92.4,11.0,474(+2),[東] 西田雄一,202407010101
9,1,2,ニースライト,牝3,55.0,柴田善臣,1:28.5,1.3/4,46.6,8.0,474(+4),[東] 粕谷昌央,202407010101
10,2,3,デルマヴェーダ,牡3,57.0,菊沢一樹,1:28.6,3/4,23.7,6.0,474(-6),[東] 菊沢隆徳,202407010101
11,4,7,パルマノーヴァ,牝3,54.0,小沢大仁,1:29.3,4,327.9,14.0,456(+2),[西] 牧田和弥,202407010101
12,8,16,リプリー,牝3,54.0,秋山稔樹,1:29.5,1.1/4,470.6,15.0,438(+2),[東] 鈴木慎太,202407010101
13,2,4,ヴェラベレッツァ,牝3,55.0,小林凌大,1:29.6,1/2,17.9,5.0,468(+14),[東] 小島茂之,202407010101
14,6,12,キタノレガーロ,牝3,52.0,川端海翼,1:29.7,1/2,202.5,13.0,448(0),[西] 坂口智康,202407010101
15,6,11,ミッレマンドルリ,牝3,52.0,水沼元輝,1:30.0,1.3/4,537.8,16.0,462(-4),[東] 和田正一,202407010101
16,1,1,ヤマニンフィリア,牝3,55.0,長岡禎仁,1:30.8,5,85.3,10.0,512(0),[西] 奥村豊,202407010101
1,7,13,メリージェーン,牝3,55.0,木幡育也,1:23.1,,5.4,2.0,476(-2),[東] 鹿戸雄一,202407010102
2,8,16,シアター,牝3,55.0,藤岡康太,1:23.1,ハナ,1.9,1.0,440(+2),[西] 茶木太樹,202407010102
3,1,1,エイシンオニキス,牝3,55.0,団野大成,1:23.4,2,34.6,8.0,418(0),[西] 渡辺薫彦,202407010102
4,8,17,エガオニナッテ,牝3,54.0,小沢大仁,1:23.6,1,9.6,4.0,452(+14),[西] 高橋康之,202407010102
5,4,7,マコトジャーベ,牝3,55.0,横山典弘,1:23.6,ハナ,16.8,6.0,468(0),[西] 昆貢,202407010102
6,7,14,ジャヴァネ,牝3,52.0,水沼元輝,1:23.7,1,189.1,15.0,414(0),[東] 加藤和宏,202407010102
7,5,10,クイーンカナロア,牝3,52.0,高杉吏麒,1:23.9,1.1/4,14.0,5.0,436(+8),[西] 藤岡健一,202407010102
8,2,4,アリーバ,牝3,55.0,北村友一,1:23.9,クビ,26.0,7.0,430(0),[西] 田中克典,202407010102
9,4,8,レジーナデッラネラ,牝3,55.0,国分恭介,1:24.0,クビ,7.1,3.0,414(+4),[東] 矢野英一,202407010102
10,1,2,グレナマディー,牝3,55.0,丸山元気,1:24.0,ハナ,37.8,9.0,416(0),[東] 田島俊明,202407010102
11,6,11,タガノアミカル,牝3,55.0,田中健,1:24.0,ハナ,51.0,10.0,452(-4),[西] 荒川義之,202407010102
12,8,18,ナムラアニカ,牝3,55.0,吉田隼人,1:24.0,クビ,81.9,13.0,436(0),[西] 鈴木孝志,202407010102
13,2,3,レッドゲート,牝3,51.0,河原田菜,1:24.2,3/4,87.9,14.0,414(0),[西] 石坂公一,202407010102
14,3,6,ボンジーア,牝3,55.0,中井裕二,1:24.4,1.1/2,369.8,18.0,428(0),[西] 茶木太樹,202407010102
15,5,9,コワン,牝3,53.0,西塚洸二,1:24.7,1.3/4,61.0,12.0,404(0),[西] 吉岡辰弥,202407010102
16,3,5,ヤマニンモルフォ,牝3,55.0,江田照男,1:24.7,クビ,216.5,16.0,458(0),[東] 村田一誠,202407010102
17,6,12,ノレッジギフト,牝3,55.0,斎藤新,1:24.9,1.1/4,243.6,17.0,448(0),[西] 奥村豊,202407010102
18,7,15,ラブリーアーニャ,牝3,52.0,永島まな,1:29.2,大,52.4,11.0,430(0),[西] 石坂公一,202407010102
1,1,1,スノーディーヴァ,牝3,53.0,西塚洸二,2:03.3,,18.0,7.0,452(0),[東] 深山雅史,202407010103
