着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師,race_id
1,4,7,エースアビリティ,牡3,57.0,ルメール,1:26.9,,1.4,1.0,480(+2),[東] 堀内岳志,202405010101
2,3,6,モリノセピア,牡3,57.0,津村明秀,1:27.2,2,16.6,4.0,484(+12),[東] 鈴木伸尋,202405010101
3,7,13,スマートスコープ,牡3,54.0,小林勝太,1:28.2,6,29.0,6.0,500(-4),[東] 加藤征弘,202405010101
4,2,4,テイエムビッグサー,牡3,57.0,大野拓弥,1:28.5,2,26.3,5.0,500(+4),[東] 石栗龍彦,202405010101
5,6,11,フォルスタクラス,牡3,57.0,三浦皇成,1:28.7,1,14.7,3.0,472(+8),[東] 上原博之,202405010101
6,1,2,マイネルウォーリア,牡3,56.0,原優介,1:28.7,クビ,59.4,7.0,462(-6),[東] 高木登,202405010101
7,5,10,アオイサクラ,牝3,54.0,横山琉人,1:29.4,4,223.6,11.0,432(-2),[東] 小島茂之,202405010101
8,8,16,サイモンモーニング,牡3,57.0,横山和生,1:29.4,ハナ,80.7,8.0,434(+8),[東] 勢司和浩,202405010101
9,8,15,レオスパーク,牡3,57.0,木幡巧也,1:29.6,1.1/4,152.6,9.0,524(0),[東] 牧光二,202405010101
10,6,12,ゲンブ,牡3,57.0,川田将雅,1:29.8,1,3.2,2.0,488(0),[東] 高木登,202405010101
11,7,14,ソーラーエクリプス,牡3,57.0,杉原誠人,1:29.8,クビ,651.0,16.0,456(+4),[東] 清水英克,202405010101
12,2,3,ニシノオーシャン,牡3,57.0,武士沢友,1:30.1,1.1/2,254.7,12.0,522(-14),[東] 小桧山悟,202405010101
13,3,5,ドゥグラン,牝3,55.0,柴田大知,1:30.4,2,545.5,14.0,442(+2),[東] 南田美知,202405010101
14,4,8,キリングパート,牝3,55.0,岩部純二,1:31.5,7,546.2,15.0,434(-2),[東] 萱野浩二,202405010101
15,5,9,フェスティヴルディ,牡3,57.0,野中悠太,1:31.6,クビ,184.5,10.0,496(+16),[東] 清水英克,202405010101
16,1,1,アフロマン,牡3,57.0,木幡育也,1:32.8,7,372.5,13.0,410(+16),[東] 萱野浩二,202405010101
