着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師,race_id
1,4,7,サトノシャムロック,牡3,56.0,原優介,1:26.4,,7.6,3.0,504(+12),[東] 田中博康,202505010101
2,2,4,クラウンハート,牡3,57.0,石川裕紀,1:26.4,クビ,10.5,5.0,502(+8),[東] 相沢郁,202505010101
3,5,10,バーンズベリー,牡3,57.0,津村明秀,1:26.8,2.1/2,71.9,9.0,464(-12),[東] 尾関知人,202505010101
4,6,12,マサノユニコーン,牡3,56.0,横山琉人,1:26.8,ハナ,233.5,11.0,464(0),[東] 小島茂之,202505010101
5,8,16,キャストロププ,牡3,54.0,長浜鴻緒,1:26.9,3/4,9.7,4.0,500(-4),[東] 尾形和幸,202505010101
6,1,2,ナクライト,牡3,57.0,三浦皇成,1:27.0,3/4,2.8,2.0,506(+6),[東] 国枝栄,202505010101
7,8,15,フェンスブレイカー,牡3,57.0,内田博幸,1:27.2,1,30.1,8.0,552(+16),[東] 田島俊明,202505010101
8,7,14,グリームスター,牡3,57.0,北村宏司,1:27.3,1/2,642.9,16.0,470(+10),[東] 勢司和浩,202505010101
9,7,13,キープサインオン,牡3,57.0,団野大成,1:27.3,ハナ,21.3,7.0,472(+2),[東] 加藤征弘,202505010101
10,4,8,エンジェルラダー,牝3,55.0,戸崎圭太,1:27.3,アタマ,2.6,1.0,474(+6),[東] 木村哲也,202505010101
11,3,6,レッドソニード,牡3,57.0,横山和生,1:27.7,2,14.5,6.0,492(+10),[東] 嘉藤貴行,202505010101
12,5,9,スーパーホース,セ3,57.0,原田和真,1:27.8,1/2,354.3,14.0,494(+4),[東] 堀内岳志,202505010101
13,2,3,ボーマン,牡3,57.0,木幡巧也,1:28.3,3,283.5,12.0,530(0),[東] 牧光二,202505010101
14,1,1,エソテリック,牡3,57.0,嶋田純次,1:28.4,クビ,352.1,13.0,444(+2),[東] 矢嶋大樹,202505010101
15,3,5,キタノルシール,牝3,55.0,小林凌大,1:28.7,1.3/4,415.2,15.0,448(0),[東] 小西一男,202505010101
16,6,11,メイショウヒンカク,セ3,57.0,木幡育也,1:29.2,3,137.2,10.0,492(0),[東] 蛯名正義,202505010101
1,5,8,ファミーユウルーズ,牡3,57.0,武藤雅,2:15.5,,6.5,4.0,526(-2),[東] 武藤善則,202505010102
2,4,6,シュガーハイ,牡3,57.0,横山和生,2:16.1,3.1/2,4.3,2.0,506(-2),[東] 加藤士津,202505010102
3,4,5,フィールザゴールド,牡3,57.0,横山武史,2:16.3,1.1/4,5.9,3.0,438(+2),[東] 岩戸孝樹,202505010102
4,8,14,グロワールスカイ,牡3,54.0,長浜鴻緒,2:16.8,2.1/2,60.4,11.0,480(+2),[東] 加藤士津,202505010102
5,7,11,ネイチャーズロウ,牡3,57.0,菅原明良,2:17.0,1.1/4,3.9,1.0,500(0),[東] 大竹正博,202505010102
6,7,12,ホークライト,セ3,57.0,木幡巧也,2:17.0,ハナ,8.7,6.0,490(-2),[東] 中舘英二,202505010102
7,5,7,マブアンドフェール,牡3,57.0,内田博幸,2:17.2,1.1/2,19.4,8.0,524(-4),[東] 古賀慎明,202505010102
8,8,13,マシェリアムール,牝3,55.0,丸田恭介,2:17.3,クビ,246.1,14.0,460(0),[東] 高橋文雅,202505010102
9,1,1,カフェノーチェ,牡3,57.0,北村宏司,2:17.5,1.1/2,12.9,7.0,530(0),[東] 古賀慎明,202505010102
10,2,2,オンクラウドナイン,牡3,57.0,幸英明,2:17.5,アタマ,54.3,10.0,514(-6),[東] 和田正一,202505010102
11,6,10,トウショウクラウド,牡3,57.0,岩部純二,2:17.7,1.1/4,45.0,9.0,458(+6),[東] 萱野浩二,202505010102
12,3,3,ヘビーキュー,牡3,57.0,江田照男,2:18.5,5,7.8,5.0,582(0),[東] 矢嶋大樹,202505010102
13,3,4,スペースリーガ,牡3,56.0,原優介,2:18.7,1,80.2,12.0,474(+20),[東] 森一誠,202505010102
14,6,9,ワンダーレイザー,牡3,57.0,柴田大知,2:19.9,7,145.7,13.0,522(-12),[東] 畠山吉宏,202505010102
1,1,1,ユーディキウム,牝3,55.0,木幡巧也,1:39.7,,10.8,4.0,488(+10),[東] 黒岩陽一,202505010103
2,5,10,シャンハイナイト,牝3,55.0,江田照男,1:39.8,1/2,12.4,5.0,464(+2),[東] 村田一誠,202505010103
3,5,9,アオイハナミチ,牝3,52.0,長浜鴻緒,1:40.1,1.1/2,309.4,15.0,438(+6),[東] 高橋文雅,202505010103
4,7,14,メリーサウンド,牝3,55.0,キング,1:40.2,3/4,15.8,7.0,448(-2),[東] 小笠倫弘,202505010103
5,3,5,プリティパール,牝3,55.0,幸英明,1:40.2,クビ,232.7,14.0,416(-4),[東] 大和田成,202505010103
6,8,15,ロフティストーリー,牝3,55.0,田辺裕信,1:40.3,3/4,5.2,3.0,496(-2),[東] 久保田貴,202505010103
7,4,8,ネクストダンサー,牝3,55.0,横山武史,1:40.5,1,3.0,1.0,478(-2),[東] 伊藤圭三,202505010103
8,6,12,ウェルカムホーム,牝3,55.0,津村明秀,1:40.7,1.1/4,32.0,9.0,428(-4),[東] 水野貴広,202505010103
9,1,2,ボンジュールアスク,牝3,55.0,横山和生,1:40.7,アタマ,76.3,10.0,448(+10),[東] 斎藤誠,202505010103
10,2,3,フィルトラージュ,牝3,55.0,杉原誠人,1:40.9,1,174.3,13.0,474(0),[東] 小島茂之,202505010103
11,6,11,ラッフルズドリーム,牝3,55.0,野中悠太,1:41.2,2,14.0,6.0,468(+4),[東] 宮田敬介,202505010103
12,7,13,ユナクイーン,牝3,55.0,木幡育也,1:41.2,クビ,104.9,11.0,492(+4),[東] 松永康利,202505010103
13,8,16,フローラルデザイン,牝3,55.0,北村宏司,1:41.6,2.1/2,23.2,8.0,456(+4),[東] 畠山吉宏,202505010103
14,3,6,フィールオーサム,牝3,55.0,菅原明良,1:41.9,1.3/4,3.2,2.0,442(+2),[東] 岩戸孝樹,202505010103
15,4,7,ノースカトレア,牝3,55.0,大野拓弥,1:42.3,2.1/2,142.1,12.0,502(+2),[東] 和田勇介,202505010103
16,2,4,アルデココ,牝3,54.0,原優介,1:45.0,大,310.2,16.0,478(+4),[東] 矢野英一,202505010103
1,6,8,ヘニーガイスト,牡3,57.0,横山武史,1:37.2,,1.7,1.0,518(+4),[東] 加藤征弘,202505010104
2,4,4,タガノバビロン,牡3,57.0,三浦皇成,1:37.5,2,7.8,3.0,512(0),[西] 西園翔太,202505010104
3,2,2,サノノワンダー,牡3,57.0,菅原明良,1:38.1,3.1/2,40.2,9.0,530(-2),[東] 栗田徹,202505010104
4,5,6,ベリタバグス,牡3,57.0,キング,1:38.1,クビ,3.8,2.0,480(0),[東] 森一誠,202505010104
5,8,13,クラリネットソナタ,牝3,55.0,戸崎圭太,1:38.4,1.1/2,18.7,6.0,496(+14),[東] 田中博康,202505010104
6,6,9,バタール,牡3,57.0,内田博幸,1:38.7,1.1/2,16.1,4.0,546(+6),[東] 鹿戸雄一,202505010104
7,7,10,シンビリーブ,牡3,57.0,団野大成,1:38.9,1.1/2,22.1,7.0,520(-2),[西] 森秀行,202505010104
8,5,7,ロードリベラシオン,牡3,57.0,横山和生,1:39.5,3.1/2,24.7,8.0,494(0),[東] 尾形和幸,202505010104
9,7,11,リュキア,牡3,57.0,木幡巧也,1:39.7,1.1/2,166.5,12.0,474(+2),[東] 牧光二,202505010104
10,3,3,チンプンカンプン,牡3,57.0,柴田大知,1:39.8,1/2,152.5,11.0,468(-4),[東] 奥平雅士,202505010104
