着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師,race_id
1,3,3,ショウナンカリス,牝2,55,北村友一,1:08.9,,4.8,3.0,408(+4),[東] 加藤士津,202501010101
2,4,4,ファニーバニー,牝2,55,鮫島克駿,1:09.1,1.1/4,2.4,1.0,428(+4),[西] 杉山佳明,202501010101
3,2,2,ハルヒメ,牝2,52,小林美駒,1:09.1,ハナ,4.2,2.0,388(-14),[東] 矢嶋大樹,202501010101
4,6,7,カンレイスター,牝2,55,荻野琢真,1:09.9,5,46.9,8.0,434(-8),[東] 矢野英一,202501010101
5,8,12,ココソラーレ,牝2,52,鷲頭虎太,1:10.1,1.1/4,77.1,10.0,424(-4),[東] 天間昭一,202501010101
6,8,11,ストームサンダー,牡2,55,丹内祐次,1:10.2,1/2,10.0,5.0,454(-2),[西] 安達昭夫,202501010101
7,7,10,サンタカリス,牝2,55,黛弘人,1:10.2,アタマ,92.1,11.0,436(+8),[西] 秋山真一,202501010101
8,6,8,トーセンクリステル,牝2,52,舟山瑠泉,1:10.4,1.1/2,74.4,9.0,460(0),[東] 杉浦宏昭,202501010101
9,5,5,モズプリフォール,牡2,55,佐々木大,1:10.4,ハナ,5.5,4.0,488(-2),[西] 矢作芳人,202501010101
10,7,9,オンマイビート,牡2,52,和田陽希,1:10.6,3/4,109.3,12.0,450(+8),[東] 松山将樹,202501010101
11,5,6,ナムラシンジロー,牡2,52,古川奈穂,1:11.1,3,41.2,7.0,426(+6),[西] 羽月友彦,202501010101
12,1,1,セイウンダイフク,牡2,55,池添謙一,1:11.4,1.3/4,36.9,6.0,428(-6),[西] 宮本博,202501010101
1,7,9,エンジェルラダー,牝3,55,佐々木大,0:59.5,,1.6,1.0,488(+2),[東] 木村哲也,202501010102
2,2,2,タイセイアビリティ,牡3,57,斎藤新,0:59.5,アタマ,12.0,4.0,472(-4),[西] 小林真也,202501010102
3,8,12,ラピルスイメル,牝3,52,古川奈穂,0:59.6,クビ,9.9,3.0,504(0),[西] 小崎憲,202501010102
4,6,8,サツキレジーナ,牝3,55,古川吉洋,0:59.6,クビ,31.6,6.0,418(-6),[東] 石栗龍彦,202501010102
5,5,5,レイアポポ,牝3,55,丹内祐次,1:00.0,2.1/2,13.2,5.0,462(-6),[東] 青木孝文,202501010102
6,5,6,サラサエンペラー,牡3,57,黛弘人,1:00.1,クビ,208.3,11.0,468(-4),[東] 村田一誠,202501010102
7,4,4,キャットデイ,牝3,55,川又賢治,1:00.2,3/4,47.5,10.0,424(-4),[西] 吉村圭司,202501010102
8,7,10,タイセイルーマー,牝3,55,鮫島克駿,1:00.3,1/2,43.8,8.0,466(+2),[東] 斎藤誠,202501010102
9,1,1,ユウグレ,牝3,52,舟山瑠泉,1:00.7,2.1/2,35.9,7.0,440(-12),[東] 宮田敬介,202501010102
10,6,7,コッコラーレ,牝3,52,小林美駒,1:00.8,クビ,4.0,2.0,484(-2),[西] 鈴木孝志,202501010102
11,8,11,グランヴァルール,牝3,52,柴田裕一,1:00.9,1/2,297.0,12.0,462(-12),[東] 千葉直人,202501010102
12,3,3,グロリオン,牡3,54,森田誠也,1:00.9,クビ,46.9,9.0,478(-12),[西] 牧田和弥,202501010102
1,7,12,ディアウス,牡3,57,北村友一,1:45.6,,2.0,1.0,452(+4),[西] 吉岡辰弥,202501010103
2,8,13,ジョードリウム,牡3,57,丹内祐次,1:45.9,1.3/4,10.4,4.0,506(-10),[西] 清水久詞,202501010103
3,4,5,オオタチ,牡3,57,横山武史,1:46.3,2,3.9,2.0,450(-4),[東] 久保田貴,202501010103
4,3,4,ネトル,牝3,55,斎藤新,1:46.7,2.1/2,36.7,9.0,396(0),[西] 高橋康之,202501010103
5,8,14,オロパタジン,牡3,54,小林美駒,1:47.2,3,19.8,7.0,466(-4),[東] 相沢郁,202501010103
6,6,9,キンセンオー,牡3,54,和田陽希,1:47.4,1.1/4,20.9,8.0,486(0),[西] 中尾秀正,202501010103
7,7,11,ファジーロップ,牝3,55,佐々木大,1:47.4,クビ,7.1,3.0,450(-8),[西] 吉岡辰弥,202501010103
8,2,2,ジーティートゥルー,牡3,57,黛弘人,1:47.5,クビ,18.6,6.0,444(-4),[東] 田島俊明,202501010103
9,4,6,サヨノミッキー,牡3,54,柴田裕一,1:47.8,2,259.7,14.0,462(+2),[西] 羽月友彦,202501010103
10,6,10,タイセイバンクール,牡3,57,鮫島克駿,1:47.8,クビ,16.3,5.0,456(+6),[西] 西村真幸,202501010103
11,3,3,ベイビーベリッシモ,牡3,57,古川吉洋,1:48.5,4,167.8,12.0,498(+10),[東] 大和田成,202501010103
12,5,7,カズナリ,牡3,54,鷲頭虎太,1:48.7,1.1/4,92.1,10.0,490(0),[東] 中舘英二,202501010103
13,1,1,ニッシンゲッポ,牝3,55,原田和真,1:48.8,クビ,167.5,11.0,428(-4),[東] 金成貴史,202501010103
14,5,8,カシマスウィープ,牝3,55,松岡正海,1:49.1,2,218.4,13.0,480(-14),[東] 伊藤伸一,202501010103
1,5,8,シンヒダカゴールド,牝3,55,古川吉洋,1:27.5,,4.0,2.0,476(-4),[西] 角田晃一,202501010104
2,8,14,ワタシマツワ,牝3,52,小林美駒,1:27.5,アタマ,10.2,5.0,422(0),[東] 竹内正洋,202501010104
3,3,4,エピファランド,牝3,55,浜中俊,1:27.8,1.3/4,4.5,3.0,496(+10),[西] 武幸四郎,202501010104
4,7,11,ベルジャッド,牝3,52,柴田裕一,1:28.0,1.1/2,79.3,12.0,416(+6),[西] 高柳大輔,202501010104
5,6,9,リリーオブザハート,牝3,55,鮫島克駿,1:28.2,1.1/4,3.8,1.0,418(0),[西] 辻野泰之,202501010104
6,8,13,オフザチェイン,牝3,55,吉田隼人,1:28.6,2.1/2,14.6,6.0,454(+2),[西] 友道康夫,202501010104
7,1,1,ゴールドハーディス,牝3,55,荻野琢真,1:28.8,1.1/4,38.8,9.0,440(+6),[西] 大久保龍,202501010104
8,5,7,エミネントキャリア,牝3,55,丹内祐次,1:28.8,クビ,26.4,8.0,452(+10),[東] 稲垣幸雄,202501010104
9,6,10,ディアマント,牝3,52,鷲頭虎太,1:29.2,2,178.3,14.0,436(-4),[西] 西村真幸,202501010104
10,7,12,レフレクシオ,牝3,52,森田誠也,1:29.4,1,61.9,11.0,456(0),[西] 佐藤悠太,202501010104
11,3,3,バダジェフスカ,牝3,54,松本大輝,1:29.4,ハナ,18.6,7.0,472(+6),[西] 新谷功一,202501010104
12,4,5,ブリスディーシャ,牝3,55,斎藤新,1:29.5,3/4,110.7,13.0,444(-12),[西] 小崎憲,202501010104
13,4,6,テーオーカバリエ,牝3,55,佐々木大,1:30.2,4,42.3,10.0,424(-6),[西] 須貝尚介,202501010104
14,2,2,マザーズウィル,牝3,55,北村友一,1:30.2,クビ,5.9,4.0,426(-8),[東] 国枝栄,202501010104
1,8,13,テイエムキハク,牡2,55,丹内祐次,1:46.4,,23.7,8.0,466(0),[東] 伊藤圭三,202501010105
2,5,6,ニャンタロウ,牡2,52,舟山瑠泉,1:46.7,1.1/2,50.9,11.0,466(0),[東] 武市康男,202501010105
3,4,5,ミヤエスケープ,牝2,55,横山武史,1:47.1,2.1/2,3.5,2.0,490(0),[東] 伊藤圭三,202501010105
4,6,8,ロードアマルフィ,牡2,55,鮫島克駿,1:47.3,1.1/4,5.2,3.0,504(0),[西] 中村直也,202501010105
5,7,10,チャーリー,牡2,55,北村友一,1:47.9,3.1/2,12.4,4.0,508(0),[東] 国枝栄,202501010105
6,1,1,メイショウコシュウ,牡2,55,武豊,1:48.5,3.1/2,2.6,1.0,488(0),[西] 松永幹夫,202501010105
7,3,3,ウォータースパウト,牝2,55,佐々木大,1:49.2,4,50.8,10.0,480(0),[東] 小笠倫弘,202501010105
8,2,2,チカマヨルキーナ,牝2,55,藤岡佑介,1:49.3,1/2,43.6,9.0,460(0),[西] 藤岡健一,202501010105
9,4,4,エクストラプッシュ,牡2,55,吉田隼人,1:49.6,2,17.6,7.0,520(0),[西] 奥村豊,202501010105
10,8,12,ニミッツハイウェイ,牡2,52,和田陽希,1:49.6,ハナ,59.8,12.0,452(0),[西] 梅田智之,202501010105
11,5,7,ハグレジョー,牡2,55,池添謙一,1:49.8,3/4,12.8,5.0,486(0),[西] 岡田稲男,202501010105
12,7,11,フォールティア,牡2,55,原田和真,1:52.2,大,367.7,13.0,498(0),[東] 小野次郎,202501010105
13,6,9,シホノソルジェンテ,牡2,55,浜中俊,1:52.9,4,14.7,6.0,492(0),[西] 畑端省吾,202501010105
1,7,11,デルマケセラセラ,牝3,55,横山典弘,1:47.6,,6.0,4.0,426(-6),[東] 小野次郎,202501010106
2,6,9,ウインキララ,牝3,55,佐々木大,1:47.7,1/2,6.4,5.0,446(+4),[東] 鹿戸雄一,202501010106
3,4,5,ドゥラエテルノ,牡3,57,浜中俊,1:47.7,アタマ,3.7,1.0,470(+6),[西] 武幸四郎,202501010106
4,2,2,ラウニウ,牝3,55,横山武史,1:47.9,1.1/4,4.2,2.0,476(+2),[西] 牧田和弥,202501010106
5,3,4,ラースアルアイン,牡3,57,黛弘人,1:48.0,3/4,16.1,6.0,538(-6),[東] 中川公成,202501010106
6,6,10,テンフレッシュ,牝3,55,斎藤新,1:48.2,1.1/4,17.7,7.0,468(+2),[東] 田村康仁,202501010106
7,4,6,ゴールドサニーデイ,牝3,52,小林美駒,1:48.4,1.1/4,46.2,9.0,416(-4),[西] 渡辺薫彦,202501010106
8,1,1,タイキクロニクル,牡3,54,和田陽希,1:48.8,2,42.6,8.0,476(-2),[西] 高野友和,202501010106
9,3,3,コスモマガラニカ,牡3,57,丹内祐次,1:48.8,ハナ,4.4,3.0,438(+2),[東] 加藤士津,202501010106
10,7,12,フィエールガール,牝3,52,森田誠也,1:48.9,1/2,70.2,11.0,458(-2),[東] 土田稔,202501010106
11,8,14,オースミストロング,牡3,57,古川吉洋,1:48.9,クビ,163.1,12.0,488(-2),[西] 高橋亮,202501010106
12,5,7,セブンスプリングス,セ3,54,鷲頭虎太,1:49.0,1/2,171.2,13.0,466(-8),[西] 中村直也,202501010106
13,5,8,レディオンステージ,牝3,55,荻野琢真,1:49.9,5,47.1,10.0,496(-2),[西] 西園正都,202501010106
除,8,13,チリーゴールド,牝3,52,柴田裕一,,,---,,434(-2),[東] 深山雅史,202501010106
1,1,1,ラセーヌシュメール,牝4,56,佐々木大,1:08.7,,2.8,1.0,446(-10),[東] 杉浦宏昭,202501010107
2,5,5,ハイファイスピード,牝3,53,横山武史,1:08.9,1.1/4,3.4,2.0,452(-16),[西] 宮本博,202501010107
3,7,7,ジャグアール,牡4,58,松岡正海,1:09.0,1/2,8.0,4.0,452(-4),[東] 矢野英一,202501010107
4,6,6,シャインズオンユー,牡4,58,古川吉洋,1:09.1,1,56.8,8.0,448(-12),[西] 藤野健太,202501010107
