着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師,race_id
1,6,11,ピッツァナポリ,牝3,55.0,大野拓弥,1:12.2,,2.5,1.0,460(+2),[東] 新開幸一,202506010101
2,2,3,グリューネベルグ,牝3,55.0,丹内祐次,1:12.7,3,12.0,6.0,444(0),[東] 青木孝文,202506010101
3,7,13,ロッキンミー,牝3,52.0,佐藤翔馬,1:13.0,2,156.0,11.0,436(0),[東] 杉浦宏昭,202506010101
4,5,10,ルックアトミー,牝3,55.0,菊沢一樹,1:13.1,1/2,2.8,2.0,494(+6),[東] 菊沢隆徳,202506010101
5,6,12,ダイチラポール,牡3,54.0,長浜鴻緒,1:13.4,2,7.3,3.0,476(+2),[東] 蛯名利弘,202506010101
6,1,2,ジルクン,牡3,53.0,小林美駒,1:13.5,クビ,50.1,7.0,414(+8),[東] 鈴木慎太,202506010101
7,4,8,セイリオス,牝3,55.0,杉原誠人,1:13.7,1.1/4,211.8,14.0,472(+6),[東] 宮田敬介,202506010101
8,2,4,タッカーバリアント,牡3,57.0,戸崎圭太,1:13.7,クビ,8.4,4.0,466(+4),[東] 田島俊明,202506010101
9,4,7,コナベイション,牡3,57.0,横山武史,1:13.8,1/2,11.6,5.0,460(-4),[東] 伊藤圭三,202506010101
10,3,5,チャンピオンリボン,牝3,55.0,木幡初也,1:14.0,1,196.9,13.0,422(+8),[東] 竹内正洋,202506010101
11,1,1,ショウブダッシュ,牝3,52.0,石神深道,1:14.2,1.1/4,231.3,15.0,432(0),[東] 青木孝文,202506010101
12,5,9,ビスケットマリー,牝3,55.0,柴田大知,1:14.8,4,131.9,10.0,420(-6),[東] 和田雄二,202506010101
13,8,16,カツノトゥウェルヴ,牝3,55.0,松岡正海,1:15.0,1.1/4,73.0,8.0,470(-10),[東] 伊藤伸一,202506010101
14,7,14,ノアファースト,牡3,57.0,武藤雅,1:15.0,ハナ,189.5,12.0,454(-10),[東] 小笠倫弘,202506010101
15,3,6,ニシノティターニア,牝3,55.0,池添謙一,1:15.2,1.1/4,75.8,9.0,424(-14),[東] 上原博之,202506010101
