着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師,race_id
1,2,2,クロドラバール,牡3,57.0,川田将雅,1:48.4,,2.1,1.0,514(-8),[西] 杉山晴紀,202410010101
2,5,7,グラティアスミノル,牡3,54.0,永島まな,1:48.9,3.1/2,8.2,4.0,496(+6),[西] 北出成人,202410010101
3,5,8,ビーコング,牡3,54.0,西塚洸二,1:49.0,1/2,7.9,3.0,498(0),[西] 新谷功一,202410010101
4,3,4,ハイグッドワールド,牡3,57.0,幸英明,1:49.2,1.1/4,10.9,6.0,508(-4),[西] 谷潔,202410010101
5,4,6,ミツカネトーラス,牡3,53.0,小林美駒,1:49.4,1.1/4,30.1,8.0,490(0),[東] 鈴木伸尋,202410010101
6,1,1,ジャコムスビ,牡3,57.0,城戸義政,1:49.6,1.1/4,316.6,13.0,456(-4),[西] 荒川義之,202410010101
7,8,14,メイショウマゴイチ,牡3,57.0,鮫島克駿,1:49.8,1,8.3,5.0,466(-6),[西] 武幸四郎,202410010101
8,7,11,エイシンロッキー,牡3,57.0,荻野琢真,1:50.2,2.1/2,26.6,7.0,480(-8),[西] 大久保龍,202410010101
9,7,12,ワイワイサンデー,牡3,57.0,菊沢一樹,1:50.5,2,115.7,10.0,470(0),[東] 岩戸孝樹,202410010101
10,6,10,アーベントイアー,牡3,57.0,丹内祐次,1:50.6,アタマ,128.4,11.0,486(+18),[東] 水野貴広,202410010101
11,4,5,サンライズダマシイ,牡3,57.0,斎藤新,1:51.1,3,279.2,12.0,500(-6),[西] 羽月友彦,202410010101
12,8,13,カラツノ,牡3,54.0,川端海翼,1:51.3,1.1/2,359.4,14.0,466(+2),[西] 畑端省吾,202410010101
13,3,3,オールドマイン,牡3,57.0,西村淳也,1:51.4,1,4.5,2.0,488(0),[西] 池江泰寿,202410010101
14,6,9,ビッグロードヒマリ,牡3,56.0,佐々木大,1:51.6,1,115.7,9.0,450(+4),[東] 尾形和幸,202410010101
1,4,4,ノーブルスカイ,牡3,57.0,鮫島克駿,2:00.7,,5.2,2.0,466(-6),[西] 高柳大輔,202410010102
2,1,1,ペンナヴェローチェ,牡3,57.0,川田将雅,2:00.8,3/4,1.4,1.0,492(+6),[西] 須貝尚介,202410010102
3,6,7,サンウリエル,牡3,57.0,古川吉洋,2:00.9,3/4,14.1,5.0,480(+6),[西] 宮本博,202410010102
4,5,6,レディアマゾネス,牝3,54.0,佐々木大,2:00.9,クビ,28.2,6.0,432(-16),[東] 尾形和幸,202410010102
5,3,3,サンライズガッツ,牡3,57.0,藤岡康太,2:01.3,2.1/2,8.7,3.0,482(-4),[西] 安田翔伍,202410010102
6,7,9,ヴィーケン,牡3,54.0,西塚洸二,2:01.6,1.3/4,149.1,11.0,482(-2),[西] 高橋康之,202410010102
7,5,5,ピエスダルジャン,牡3,54.0,川端海翼,2:01.7,1/2,45.7,7.0,444(-2),[西] 茶木太樹,202410010102
8,8,12,スティングビー,牡3,57.0,黛弘人,2:01.7,クビ,375.2,12.0,482(0),[東] 武井亮,202410010102
9,2,2,ワイドマルガリータ,牝3,52.0,永島まな,2:01.8,1/2,10.9,4.0,462(+4),[西] 西園正都,202410010102
10,7,10,カチドキ,牡3,57.0,モリス,2:02.1,1.1/2,95.6,9.0,516(+8),[西] 橋口慎介,202410010102
11,6,8,マイネルブラボー,牡3,57.0,丹内祐次,2:02.1,クビ,121.2,10.0,426(-2),[東] 小笠倫弘,202410010102
12,8,11,ウィナールーツ,牡3,57.0,松岡正海,2:02.7,3.1/2,88.1,8.0,430(-2),[東] 堀内岳志,202410010102
1,5,5,ナリタヴィクトリー,牝3,52.0,川端海翼,1:00.2,,16.2,6.0,442(0),[西] 藤沢則雄,202410010103
2,8,11,メトゥス,牡3,57.0,松岡正海,1:00.3,クビ,9.2,4.0,448(-6),[東] 堀内岳志,202410010103
3,8,12,グレッソネイ,牡3,53.0,河原田菜,1:00.5,1.1/4,4.9,2.0,520(0),[西] 高野友和,202410010103
4,7,10,ラインアルファ,牡3,53.0,小林美駒,1:00.9,2.1/2,15.9,5.0,472(+2),[東] 水野貴広,202410010103
5,3,3,サンスイレン,牝3,54.0,秋山稔樹,1:01.4,2.1/2,55.3,10.0,434(-8),[東] 深山雅史,202410010103
6,2,2,ダンテズセヴン,牝3,52.0,永島まな,1:01.5,1/2,32.4,8.0,392(-6),[西] 緒方努,202410010103
7,5,6,ツーエムピシュー,牡3,56.0,角田大和,1:01.5,クビ,6.0,3.0,468(+2),[西] 本田優,202410010103
8,6,7,テーオーダイヤ,牝3,53.0,藤田菜七,1:01.7,1,157.0,11.0,422(-2),[西] 梅田智之,202410010103
9,4,4,メイショウバンリ,牝3,54.0,小沢大仁,1:01.8,1,30.0,7.0,460(+8),[西] 松永昌博,202410010103
10,1,1,レフトフィールダー,牡3,56.0,佐々木大,1:01.9,クビ,39.1,9.0,430(+8),[東] 菊川正達,202410010103
11,6,8,ドランクマン,牡3,54.0,鷲頭虎太,1:02.3,2.1/2,1.8,1.0,470(+20),[西] 新谷功一,202410010103
12,7,9,クリノビバーチェ,牝3,55.0,黛弘人,1:03.0,4,608.7,12.0,432(-6),[東] 石毛善彦,202410010103
1,8,12,ベレヌス,牡7,60.0,小牧加矢,3:10.4,,1.8,1.0,528(+6),[西] 杉山晴紀,202410010104
2,4,4,メイショウキョウジ,牡9,60.0,森一馬,3:11.2,5,4.1,2.0,484(+8),[西] 松永昌博,202410010104
3,5,6,ピーターサイト,牡4,59.0,五十嵐雄,3:11.6,2.1/2,16.1,6.0,470(+2),[東] 村田一誠,202410010104
4,3,3,メイショウコホク,セ7,60.0,小野寺祐,3:12.1,3,14.9,5.0,492(-16),[西] 藤沢則雄,202410010104
5,7,10,コスモチプリア,牝4,57.0,草野太郎,3:12.5,2.1/2,35.7,8.0,436(+12),[東] 松永康利,202410010104
6,8,11,レイメイ,牡5,60.0,大江原圭,3:12.7,1.1/4,59.2,10.0,482(+2),[東] 的場均,202410010104
7,2,2,ダノンクロム,牡4,59.0,中村将之,3:14.1,9,26.8,7.0,514(+2),[西] 音無秀孝,202410010104
8,7,9,ワイドレッジャドロ,牡7,57.0,鷲頭虎太,3:14.7,3.1/2,11.3,4.0,528(-8),[西] 加用正,202410010104
9,5,5,アルファインディ,牡4,59.0,上野翔,3:15.1,2,150.1,12.0,442(0),[東] 武藤善則,202410010104
10,6,8,ジューンアマデウス,牡5,60.0,高田潤,3:17.2,大,7.5,3.0,488(+6),[西] 今野貞一,202410010104
11,1,1,ビネッサ,セ4,59.0,田村太雅,3:22.4,大,142.2,11.0,448(-8),[西] 中竹和也,202410010104
12,6,7,ファルコンビーク,牡7,60.0,石神深一,3:24.4,大,47.8,9.0,530(+21),[東] 本間忍,202410010104
1,6,7,ヴィジュネル,牡6,60.0,中村将之,3:09.3,,1.7,1.0,488(-10),[西] 渡辺薫彦,202410010105
2,7,10,スマイルスルー,牡4,59.0,森一馬,3:09.5,1.1/2,10.4,4.0,510(+4),[西] 斉藤崇史,202410010105
3,1,1,ヒルノダカール,牡8,60.0,高田潤,3:10.8,8,5.1,3.0,526(+12),[西] 北出成人,202410010105
4,2,2,サインオブサクセス,牡5,60.0,上野翔,3:11.7,5,51.1,9.0,476(+6),[東] 伊藤圭三,202410010105
5,3,3,フィレンツェ,牡5,60.0,石神深一,3:11.8,1,18.4,5.0,460(+8),[東] 加藤士津,202410010105
6,5,5,トーセンオリジン,牡7,60.0,江田勇亮,3:12.6,5,5.1,2.0,468(+12),[東] 和田雄二,202410010105
7,8,12,ライアン,牡5,60.0,大江原圭,3:12.8,1,116.5,10.0,510(+18),[東] 小桧山悟,202410010105
8,5,6,セイウンデイスター,牡4,59.0,伴啓太,3:15.0,大,150.4,11.0,450(+2),[東] 萱野浩二,202410010105
9,6,8,アズマサクラエモン,牡4,57.0,鷲頭虎太,3:15.2,1.1/4,29.2,7.0,526(+4),[西] 加用正,202410010105
10,4,4,サトノレギオン,牡5,60.0,五十嵐雄,3:15.6,2.1/2,39.1,8.0,498(+2),[東] 萩原清,202410010105
11,8,11,ルイナールカズマ,牡5,60.0,小坂忠士,3:18.0,大,28.6,6.0,508(+2),[西] 奥村豊,202410010105
12,7,9,ゼニット,牡5,60.0,草野太郎,3:18.1,アタマ,222.5,12.0,508(-14),[東] 久保田貴,202410010105
