着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師,race_id
1,3,6,ウィズユアドリーム,牡3,56.0,吉田隼人,2:00.9,,19.0,7.0,492(-2),[西] 吉岡辰弥,202308010101
2,4,8,アーテルナイト,牡3,56.0,川田将雅,2:01.0,1,7.7,5.0,494(-2),[西] 杉山晴紀,202308010101
3,4,7,スイープアワーズ,牡3,56.0,武豊,2:01.1,クビ,2.3,1.0,452(-2),[西] 友道康夫,202308010101
4,7,15,ブルーウィン,牝3,54.0,城戸義政,2:01.1,クビ,220.8,12.0,442(+4),[西] 清水久詞,202308010101
5,3,5,マテンロウジョイ,牡3,56.0,藤岡康太,2:01.1,ハナ,5.7,2.0,450(-2),[西] 四位洋文,202308010101
6,1,2,コパノサントス,牡3,56.0,幸英明,2:01.1,ハナ,5.8,3.0,464(+8),[西] 梅田智之,202308010101
7,7,13,ファミリーラヴ,牝3,54.0,鮫島克駿,2:01.4,1.1/2,304.0,14.0,454(-2),[西] 野中賢二,202308010101
8,7,14,マルカブリッツ,牡3,55.0,小沢大仁,2:01.5,1/2,231.9,13.0,502(-2),[西] 松永昌博,202308010101
9,5,9,マックロスキー,牡3,56.0,松山弘平,2:01.5,1/2,43.0,9.0,504(-8),[西] 茶木太樹,202308010101
10,6,11,ムジェロ,牡3,56.0,岩田望来,2:01.6,クビ,6.9,4.0,524(+10),[西] 藤原英昭,202308010101
11,6,12,エドワーズクラウン,牡3,56.0,和田竜二,2:01.6,クビ,13.5,6.0,444(-6),[西] 大久保龍,202308010101
12,2,3,タイガーミノル,牡3,56.0,池添謙一,2:01.9,1.3/4,167.9,10.0,500(0),[西] 北出成人,202308010101
13,2,4,オンリーラヴ,牝3,54.0,国分恭介,2:02.1,1.1/4,330.7,16.0,414(+4),[西] 森田直行,202308010101
14,5,10,シゲルマティアス,牡3,56.0,和田翼,2:02.3,1.1/2,419.6,17.0,486(-4),[西] 谷潔,202308010101
15,8,17,アッチェレランド,牡3,56.0,坂井瑠星,2:02.3,ハナ,42.9,8.0,582(0),[西] 矢作芳人,202308010101
16,1,1,ソルトエース,牡3,56.0,田中健,2:02.6,1.1/2,189.0,11.0,448(0),[西] 武英智,202308010101
17,8,18,ラコンチャ,牡3,56.0,古川吉洋,2:02.7,1,318.3,15.0,464(+6),[西] 大根田裕,202308010101
18,8,16,ニホンピロパークス,牝3,51.0,田口貫太,2:02.8,クビ,577.4,18.0,426(-1),[西] 服部利之,202308010101
1,1,1,ボルネオ,セ3,56.0,水口優也,2:03.4,,12.4,3.0,484(+10),[西] 藤沢則雄,202308010102
