着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師,race_id
1,1,1,スプレンディダ,牝3,51.0,佐々木大,1:09.3,,7.4,5.0,420(0),[西] 茶木太樹,202302010101
2,6,12,シエロエスティーボ,牡3,55.0,横山琉人,1:09.6,2,14.3,6.0,492(+4),[東] 小島茂之,202302010101
3,1,2,アフターグロウ,牝3,54.0,横山武史,1:09.7,1/2,4.6,2.0,434(-14),[東] 宗像義忠,202302010101
4,6,11,グランツベリー,牝3,54.0,北村友一,1:09.9,1,6.5,4.0,440(+4),[西] 田中克典,202302010101
5,4,8,レディメローラ,牝3,54.0,池添謙一,1:10.0,1,44.6,9.0,402(+10),[西] 北出成人,202302010101
6,7,14,エルフォルク,牝3,54.0,吉田隼人,1:10.1,3/4,77.1,12.0,432(+2),[東] 中舘英二,202302010101
7,3,6,ゴコウサス,牡3,56.0,浜中俊,1:10.2,クビ,2.8,1.0,462(+2),[西] 笹田和秀,202302010101
8,5,10,エッセンシャルワン,牝3,54.0,横山和生,1:10.2,クビ,128.2,15.0,478(+6),[西] 昆貢,202302010101
9,2,4,プリンクアップ,牝3,54.0,藤岡佑介,1:10.3,クビ,5.9,3.0,472(-4),[西] 藤岡健一,202302010101
10,3,5,カッテミル,牝3,54.0,黛弘人,1:10.3,1/2,49.2,10.0,428(-6),[東] 奥平雅士,202302010101
11,5,9,プリティジェニー,牝3,53.0,角田大和,1:10.4,1/2,224.2,16.0,428(+20),[西] 西村真幸,202302010101
12,7,13,クリノグローリー,牡3,54.0,小林凌大,1:10.5,クビ,61.6,11.0,456(+4),[西] 谷潔,202302010101
13,8,16,ラピッドクイーン,牝3,54.0,丹内祐次,1:10.5,クビ,85.1,13.0,438(+6),[西] 高橋義忠,202302010101
14,8,15,ルージュカプシーヌ,牝3,51.0,小林勝太,1:10.6,1/2,43.9,8.0,466(-2),[西] 藤原英昭,202302010101
15,4,7,ホワイトキャンバス,牡3,55.0,松本大輝,1:10.7,1/2,93.0,14.0,482(+4),[西] 小林真也,202302010101
16,2,3,シャコンヌ,牡3,53.0,鷲頭虎太,1:10.8,1/2,40.5,7.0,446(-6),[東] 小手川準,202302010101
1,5,8,マーゴットミニモ,牝3,54.0,武豊,1:44.1,,1.4,1.0,478(+6),[東] 伊坂重信,202302010102
2,2,2,パラディ,牝3,54.0,横山武史,1:44.7,4,4.5,2.0,476(-2),[西] 四位洋文,202302010102
3,1,1,スパークルスカイ,牝3,54.0,斎藤新,1:44.9,1.1/4,19.1,5.0,440(-4),[西] 森田直行,202302010102
4,3,3,モダンフリンジ,牝3,54.0,浜中俊,1:45.4,3,26.8,7.0,476(+4),[西] 辻野泰之,202302010102
5,5,7,シャドウレディー,牝3,54.0,北村友一,1:45.6,1,21.9,6.0,434(+6),[西] 吉岡辰弥,202302010102
6,4,5,ジューンリリー,牝3,51.0,小林勝太,1:45.6,クビ,327.4,13.0,448(0),[東] 堀内岳志,202302010102
7,7,11,アルファマドンナ,牝3,54.0,横山和生,1:45.8,1,163.8,11.0,468(+6),[西] 矢作芳人,202302010102
