着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師,race_id
1,8,14,ロードジャスティス,牡3,56.0,松山弘平,1:54.8,,4.5,2.0,468(+8),[西] 安田隆行,202207010101
2,1,1,サドル,牡3,56.0,岩田康誠,1:55.8,6,16.0,6.0,484(0),[西] 庄野靖志,202207010101
3,2,2,エメヴィベール,牡3,56.0,坂井瑠星,1:56.6,5,13.5,5.0,566(+2),[西] 吉岡辰弥,202207010101
4,4,5,メイショウカゲカツ,牡3,56.0,和田竜二,1:56.9,1.1/2,1.7,1.0,508(+2),[西] 西園正都,202207010101
5,3,3,ウォータージオード,牡3,56.0,菱田裕二,1:57.1,1.1/4,47.7,8.0,476(-2),[西] 岡田稲男,202207010101
6,5,8,マーゴットワーズ,牡3,56.0,川須栄彦,1:57.2,3/4,16.5,7.0,460(+2),[西] 小林真也,202207010101
7,7,12,ヒルノロワール,牡3,55.0,亀田温心,1:57.3,クビ,9.2,3.0,498(+2),[西] 北出成人,202207010101
8,6,9,スタローン,牡3,56.0,武豊,1:57.7,2.1/2,11.3,4.0,462(-12),[西] 武幸四郎,202207010101
9,5,7,サルセル,牝3,54.0,中井裕二,1:57.8,クビ,349.0,14.0,470(-2),[西] 茶木太樹,202207010101
10,6,10,フォワデジー,牡3,56.0,松若風馬,1:57.8,クビ,247.5,12.0,478(+8),[西] 高柳大輔,202207010101
11,3,4,キタサンガイセン,牡3,56.0,岩田望来,1:58.0,1.1/4,70.8,9.0,502(+4),[西] 清水久詞,202207010101
12,4,6,メイショウテオス,牡3,56.0,田中健,1:58.2,1.1/4,162.0,11.0,444(-4),[西] 安達昭夫,202207010101
13,8,13,メイショウカジヤ,セ3,54.0,小沢大仁,1:58.7,3,105.6,10.0,454(+4),[西] 池添兼雄,202207010101
14,7,11,ゴッドレイジング,牝3,54.0,藤懸貴志,2:00.0,8,310.9,13.0,480(0),[西] 小崎憲,202207010101
1,5,8,テーオーステルス,牡3,56.0,幸英明,1:13.3,,4.7,2.0,538(+8),[西] 奥村豊,202207010102
2,5,9,デルマシルフ,牝3,51.0,西谷凜,1:13.9,3.1/2,7.7,3.0,458(0),[西] 畑端省吾,202207010102
3,2,3,ドクターマンボウ,牡3,56.0,西村淳也,1:14.5,4,17.1,6.0,458(+6),[西] 牧浦充徳,202207010102
4,4,6,グッドウッドガイ,牡3,56.0,松山弘平,1:15.1,3.1/2,14.9,4.0,520(-6),[西] 村山明,202207010102
5,8,14,ナムラフランク,牡3,56.0,和田竜二,1:15.1,ハナ,1.6,1.0,474(+2),[西] 鈴木孝志,202207010102
6,2,2,クリノミニスター,牡3,56.0,城戸義政,1:15.1,クビ,41.3,8.0,472(-4),[西] 荒川義之,202207010102
7,3,5,カフジペンタゴン,牡3,52.0,古川奈穂,1:15.2,クビ,17.1,5.0,470(+6),[西] 矢作芳人,202207010102
8,6,11,ハイアキュレイト,牡3,56.0,藤岡康太,1:15.5,1.3/4,90.6,10.0,476(+4),[西] 羽月友彦,202207010102
9,1,1,スナークユウマ,牡3,56.0,鮫島克駿,1:15.7,1.1/2,175.5,11.0,498(+2),[西] 川村禎彦,202207010102
10,3,4,クラッシュタイム,牡3,54.0,小沢大仁,1:15.9,1.1/4,31.9,7.0,478(-2),[西] 新谷功一,202207010102
11,6,10,ゼフィアス,牝3,54.0,秋山真一,1:16.1,1.1/4,205.6,12.0,404(-6),[西] 小林真也,202207010102
