着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師,race_id
1,8,15,ニシノアナ,牝3,51.0,横山琉人,1:12.5,,6.8,4.0,456(+4),[東] 相沢郁,202206010101
2,5,10,トラストパッキャオ,牝3,54.0,菅原明良,1:12.5,クビ,57.2,12.0,458(+2),[東] 高木登,202206010101
3,2,4,マイネルシトラス,牡3,56.0,柴田大知,1:12.5,クビ,3.7,1.0,518(-2),[東] 武市康男,202206010101
4,1,2,ピカリエ,牝3,54.0,伊藤工真,1:12.8,1.1/2,16.0,9.0,486(+6),[東] 金成貴史,202206010101
5,8,16,ブラッドライン,牡3,56.0,Ｍ．デム,1:13.2,2.1/2,10.0,5.0,478(-2),[東] 伊藤大士,202206010101
6,4,8,デザートサファリ,牡3,56.0,丹内祐次,1:13.4,1,6.3,3.0,470(-4),[東] 岩戸孝樹,202206010101
7,5,9,ニシノスーベニア,牡3,56.0,内田博幸,1:13.7,1.3/4,14.3,8.0,536(+28),[東] 上原博之,202206010101
8,6,11,ペルペテュエル,牡3,56.0,戸崎圭太,1:13.7,クビ,6.2,2.0,472(0),[東] 武藤善則,202206010101
9,4,7,アイアムラベンダー,牝3,54.0,松岡正海,1:13.9,3/4,10.7,6.0,462(-2),[東] 奥平雅士,202206010101
10,3,6,オールフラッグ,牡3,56.0,横山武史,1:13.9,クビ,12.6,7.0,478(+10),[東] 奥村武,202206010101
11,1,1,サノプリ,牝3,51.0,小林凌大,1:14.0,1/2,258.1,15.0,424(+6),[東] 尾形和幸,202206010101
12,7,14,ヤマタケコーチャン,牡3,56.0,丸田恭介,1:14.2,1.1/4,239.2,14.0,444(+2),[東] 萱野浩二,202206010101
13,3,5,キタノドーベル,牝3,54.0,武士沢友,1:14.4,1,273.2,16.0,448(-2),[東] 深山雅史,202206010101
14,7,13,アイスケイブ,牝3,54.0,三浦皇成,1:14.5,3/4,25.3,10.0,432(+10),[東] 高柳瑞樹,202206010101
15,6,12,ミュージアムピース,牡3,56.0,黛弘人,1:15.3,5,67.9,13.0,464(+24),[東] 伊藤大士,202206010101
16,2,3,コンセプシオン,牝3,54.0,斎藤新,1:16.0,4,32.8,11.0,528(+4),[東] 水野貴広,202206010101
1,1,1,シンボリックレルム,牝3,54.0,団野大成,1:56.6,,15.1,4.0,484(+6),[東] 水野貴広,202206010102
2,4,8,タマモタップダンス,牝3,51.0,永野猛蔵,1:56.6,アタマ,1.5,1.0,490(-2),[東] 伊藤圭三,202206010102
3,5,10,ハッピーバレー,牝3,54.0,嶋田純次,1:56.9,2,8.5,3.0,462(0),[東] 手塚貴久,202206010102
4,6,12,フジシラユキヒメ,牝3,54.0,菅原明良,1:57.1,1.1/4,17.1,6.0,474(-2),[東] 尾形和幸,202206010102
5,8,16,レオミネルバ,牝3,54.0,津村明秀,1:57.2,クビ,92.4,10.0,482(+4),[東] 牧光二,202206010102
6,7,14,ノーブルグレイシャ,牝3,51.0,横山琉人,1:57.6,2.1/2,72.1,9.0,472(0),[東] 武藤善則,202206010102
7,6,11,ニケテア,牝3,51.0,小林凌大,1:57.8,1.1/2,198.1,14.0,456(+10),[東] 武井亮,202206010102
8,1,2,ジョブックフィオリ,牝3,52.0,山田敬士,1:58.1,1.1/2,207.1,15.0,434(+4),[東] 小桧山悟,202206010102
9,2,3,トゥザヒロイン,牝3,54.0,北村宏司,1:58.2,クビ,7.6,2.0,522(+2),[東] 木村哲也,202206010102
10,4,7,ニシノカケハシ,牝3,54.0,丹内祐次,1:58.6,2.1/2,102.2,11.0,454(-4),[東] 松山将樹,202206010102
11,7,13,アメカテソーロ,牝3,54.0,横山和生,1:59.2,3.1/2,21.3,7.0,470(+2),[東] 加藤士津,202206010102
12,5,9,アコークロー,牝3,54.0,池添謙一,1:59.2,アタマ,24.2,8.0,484(+6),[東] 大竹正博,202206010102
13,8,15,サクセスソング,牝3,54.0,木幡初也,1:59.3,1/2,216.0,16.0,442(+2),[東] 竹内正洋,202206010102
14,3,6,カゼノカケハシ,牝3,52.0,藤田菜七,1:59.9,3.1/2,121.2,12.0,398(-4),[東] 根本康広,202206010102
15,3,5,ミニョン,牝3,51.0,小林脩斗,2:02.4,大,16.3,5.0,446(-4),[東] 矢野英一,202206010102
中,2,4,フォーウィンズ,牝3,53.0,秋山稔樹,,,137.0,13.0,464(-2),[東] 田島俊明,202206010102
1,3,5,クアトロマジコ,牡3,56.0,横山和生,1:56.2,,4.3,2.0,522(+4),[東] 宮田敬介,202206010103
2,4,7,ケイティマジック,牡3,56.0,菊沢一樹,1:56.5,1.3/4,278.8,12.0,482(+8),[東] 清水英克,202206010103
3,6,11,インペラートル,牡3,56.0,戸崎圭太,1:56.5,ハナ,1.7,1.0,516(+6),[東] 金成貴史,202206010103
4,8,15,オセアレジェンド,牡3,56.0,団野大成,1:56.6,1/2,15.9,5.0,484(+4),[東] 田村康仁,202206010103
5,5,8,キージュピター,牡3,56.0,丹内祐次,1:57.1,3.1/2,37.2,7.0,502(+8),[東] 青木孝文,202206010103
6,7,12,セイウンフィーバー,牡3,53.0,小林凌大,1:57.6,2.1/2,54.0,9.0,436(+4),[東] 尾形和幸,202206010103
7,7,13,ウロボン,牡3,56.0,菅原明良,1:57.6,アタマ,7.2,3.0,460(+2),[東] 武井亮,202206010103
8,4,6,パワーエンブレム,牡3,56.0,宮崎北斗,1:57.7,クビ,18.3,6.0,502(-4),[東] 中川公成,202206010103
9,6,10,インパチェンス,牡3,53.0,永野猛蔵,1:58.2,3,11.7,4.0,492(+4),[東] 小笠倫弘,202206010103
10,1,1,パフオブウインド,牡3,54.0,山田敬士,1:58.3,3/4,42.9,8.0,474(+4),[東] 小桧山悟,202206010103
11,8,14,テンオーケオー,牡3,56.0,松岡正海,1:58.8,3,56.7,10.0,530(+2),[東] 中舘英二,202206010103
12,2,2,テイエムクロマル,牡3,53.0,小林脩斗,1:59.2,2.1/2,310.2,13.0,492(+10),[東] 石栗龍彦,202206010103
13,5,9,シゲルキリン,牡3,53.0,横山琉人,2:00.4,7,164.4,11.0,526(+2),[東] 田中清隆,202206010103
14,2,3,ハウドベルク,牡3,56.0,武士沢友,2:00.9,3,330.3,14.0,480(0),[東] 古賀史生,202206010103
15,3,4,パラチェーン,牡3,56.0,木幡初也,2:01.2,2,559.8,15.0,444(+8),[東] 佐藤吉勝,202206010103
1,5,5,エクセスリターン,牡3,56.0,藤井勘一,1:58.9,,6.3,3.0,542(0),[西] 野中賢二,202206010104
2,6,6,ディーノエナジー,牡3,56.0,横山武史,1:59.3,2.1/2,1.7,1.0,490(0),[西] 清水久詞,202206010104
3,8,10,ゲティスバーグ,牡3,56.0,戸崎圭太,1:59.7,2.1/2,31.3,9.0,518(0),[東] 金成貴史,202206010104
