着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師,race_id
1,3,3,イフリーティア,牝3,55.0,松山弘平,1:57.7,,10.9,5.0,456(+12),[西] 茶木太樹,202509010101
2,8,11,アロガントシェイム,牝3,55.0,幸英明,1:58.1,2.1/2,15.7,6.0,490(0),[西] 杉山佳明,202509010101
3,6,7,フルセンド,牝3,55.0,キング,1:58.3,1.1/4,25.2,8.0,458(-4),[西] 福永祐一,202509010101
4,7,10,ライラックデューン,牝3,54.0,田口貫太,1:58.9,4,8.4,4.0,458(0),[西] 緒方努,202509010101
5,1,1,ケングロリア,牝3,52.0,橋木太希,1:59.2,2,4.9,2.0,468(-2),[西] 高橋康之,202509010101
6,2,2,ベルランザドール,牝3,55.0,鮫島克駿,1:59.7,2.1/2,54.1,10.0,456(-10),[西] 西村真幸,202509010101
7,5,6,モダンレディ,牝3,55.0,横山典弘,2:00.0,1.3/4,19.0,7.0,454(-8),[西] 昆貢,202509010101
8,8,12,バダジェフスカ,牝3,55.0,和田竜二,2:00.0,ハナ,7.7,3.0,466(+4),[西] 新谷功一,202509010101
9,4,4,ヴァリラプトル,牝3,53.0,吉村誠之,2:00.0,アタマ,46.2,9.0,410(+10),[西] 高野友和,202509010101
10,6,8,ビガーサンライズ,牝3,52.0,和田陽希,2:00.0,ハナ,93.8,12.0,390(-12),[西] 平田修,202509010101
11,7,9,ランスオブフェイス,牝3,54.0,高杉吏麒,2:01.8,大,2.0,1.0,476(-2),[西] 奥村豊,202509010101
12,5,5,イチジョウサクラ,牝3,55.0,松若風馬,2:04.1,大,81.0,11.0,434(0),[西] 牧田和弥,202509010101
1,7,14,ホウショウマリス,牝3,55.0,武豊,1:13.7,,2.2,1.0,456(+2),[西] 河内洋,202509010102
2,2,3,ミルトライディーン,牡3,57.0,池添謙一,1:13.8,1/2,19.1,4.0,514(-2),[西] 中竹和也,202509010102
3,4,8,シンギタイ,牡3,57.0,加藤祥太,1:13.9,クビ,25.4,5.0,440(+4),[西] 庄野靖志,202509010102
4,5,10,アスゴッド,牡3,57.0,坂井瑠星,1:14.0,1/2,2.5,2.0,508(+2),[西] 矢作芳人,202509010102
5,3,5,コパノマロン,牝3,55.0,Ｍ．デム,1:14.0,ハナ,36.7,8.0,436(-2),[西] 村山明,202509010102
6,8,16,リードプリンシパル,牝3,55.0,荻野琢真,1:14.4,2.1/2,5.7,3.0,456(-2),[西] 藤沢則雄,202509010102
7,6,12,ロードバルセロナ,牡3,55.0,吉村誠之,1:14.6,1.1/4,28.0,7.0,504(-4),[西] 茶木太樹,202509010102
8,3,6,モズノセイギ,牡3,57.0,団野大成,1:14.8,1.1/2,25.5,6.0,460(0),[西] 荒川義之,202509010102
9,6,11,ミキノバカラ,牡3,56.0,田口貫太,1:15.2,2,52.0,9.0,476(-2),[西] 大橋勇樹,202509010102
10,7,13,アーバンガール,牝3,55.0,川須栄彦,1:15.5,2,263.4,14.0,476(-2),[西] 小椋研介,202509010102
11,1,1,テイエムバゴオウ,牡3,57.0,田中健,1:15.5,クビ,237.9,13.0,444(-6),[西] 木原一良,202509010102
12,8,15,インピッシュ,牝3,55.0,角田大和,1:16.1,3.1/2,115.7,10.0,470(0),[西] 小林真也,202509010102
13,5,9,エムズオルフェ,牝3,55.0,城戸義政,1:16.3,1.1/4,611.2,16.0,426(-2),[西] 荒川義之,202509010102
14,4,7,ゴッドペイズリー,牡3,54.0,今村聖奈,1:16.9,3.1/2,267.8,15.0,492(0),[西] 飯田祐史,202509010102
15,1,2,スマートピリカ,牝3,52.0,和田陽希,1:17.6,4,197.6,12.0,478(0),[西] 渡辺薫彦,202509010102
16,2,4,シャインステラ,牝3,55.0,和田竜二,1:18.5,5,166.3,11.0,462(+8),[西] 鈴木孝志,202509010102
1,2,3,ソングコレクター,牝3,55.0,松山弘平,1:55.0,,4.7,2.0,486(+4),[西] 小林真也,202509010103
2,6,12,ゼロスネーク,牡3,57.0,藤岡佑介,1:55.1,クビ,2.0,1.0,454(-4),[西] 四位洋文,202509010103
3,5,9,インターアーバン,牡3,57.0,団野大成,1:55.1,クビ,7.5,4.0,526(+14),[西] 野中賢二,202509010103
4,3,6,パーフェクト,牡3,55.0,吉村誠之,1:55.2,クビ,11.2,5.0,484(0),[西] 松下武士,202509010103
5,4,8,メイケイロゼッタ,牡3,57.0,酒井学,1:55.4,1.1/2,12.8,6.0,456(-8),[西] 木原一良,202509010103
6,5,10,ゼンエスポワール,牡3,57.0,横山典弘,1:55.5,クビ,6.2,3.0,514(-6),[西] 飯田祐史,202509010103
7,8,15,リリーライナー,牡3,57.0,中井裕二,1:56.4,5,155.0,12.0,484(-2),[西] 緒方努,202509010103
8,2,4,スターペスショウマ,牡3,54.0,森田誠也,1:56.7,1.1/2,56.1,8.0,456(+2),[西] 石橋守,202509010103
9,1,1,イダイ,牡3,56.0,高杉吏麒,1:56.7,クビ,69.8,9.0,460(+2),[西] 庄野靖志,202509010103
10,1,2,サファイアブルー,牡3,57.0,角田大和,1:57.1,2.1/2,499.0,16.0,510(0),[西] 羽月友彦,202509010103
11,7,14,ジーヴル,牡3,57.0,鮫島克駿,1:57.3,1,148.8,11.0,478(-6),[西] 牧田和弥,202509010103
12,8,16,メイショウキタダケ,牡3,57.0,和田竜二,1:57.5,1.1/4,144.7,10.0,440(0),[西] 荒川義之,202509010103
13,6,11,ケイコウギュウゴ,牡3,57.0,幸英明,1:57.9,2.1/2,45.6,7.0,436(-6),[西] 藤沢則雄,202509010103
14,7,13,スカイアクセル,牝3,55.0,加藤祥太,1:59.0,7,418.2,15.0,486(0),[西] 吉村圭司,202509010103
15,4,7,ペグー,牡3,54.0,和田陽希,2:00.7,10,280.3,14.0,490(-6),[西] 小栗実,202509010103
16,3,5,ウインハイエスト,牡3,54.0,橋木太希,2:00.8,3/4,264.2,13.0,476(0),[西] 西園正都,202509010103
1,4,8,ラフォン,牡3,57.0,松山弘平,1:25.7,,11.4,6.0,494(0),[西] 松下武士,202509010104
2,1,2,ガビーズブラザー,牡3,57.0,浜中俊,1:26.2,3,3.9,2.0,496(+6),[西] 牧田和弥,202509010104
3,2,4,トラヴェリンバンド,牡3,57.0,坂井瑠星,1:26.7,3,2.4,1.0,478(-4),[西] 西村真幸,202509010104
4,3,6,サヨノミッキー,牡3,57.0,幸英明,1:27.0,2,139.9,12.0,462(-2),[西] 羽月友彦,202509010104
5,6,11,エイシンキャロッツ,牡3,57.0,鮫島克駿,1:27.2,3/4,42.3,9.0,462(-2),[西] 小崎憲,202509010104
6,7,14,メイショウアイク,牡3,57.0,西村淳也,1:27.2,クビ,10.2,5.0,512(+2),[西] 石橋守,202509010104
7,2,3,ピースシャイニー,牡3,57.0,川須栄彦,1:27.3,アタマ,487.5,15.0,482(-6),[西] 河嶋宏樹,202509010104
8,8,15,ウォーターアデル,牝3,55.0,岩田望来,1:27.4,1/2,31.0,8.0,462(-8),[西] 河内洋,202509010104
9,7,13,ダイゴセイリュウ,牡3,56.0,田口貫太,1:27.6,1.1/4,77.8,10.0,472(-2),[西] 鮫島一歩,202509010104
10,6,12,ムギトルナ,牡3,57.0,Ｍ．デム,1:27.8,1.1/4,5.9,3.0,472(0),[西] 高橋義忠,202509010104
11,8,16,スマートビビット,牝3,52.0,田山旺佑,1:27.9,1/2,148.3,13.0,452(-4),[西] 新谷功一,202509010104
12,5,9,モンサンヴデット,牝3,55.0,池添謙一,1:28.4,3,93.7,11.0,442(-6),[西] 平田修,202509010104
13,4,7,ギザキズラヴ,牝3,55.0,北村友一,1:29.0,4,10.0,4.0,450(+12),[西] 藤原英昭,202509010104
14,5,10,ポジターノ,牝3,53.0,吉村誠之,1:29.1,クビ,303.2,14.0,416(0),[西] 飯田祐史,202509010104
15,3,5,クリノコウテイ,牡3,56.0,高杉吏麒,1:29.2,3/4,31.0,7.0,516(-8),[西] 大橋勇樹,202509010104
16,1,1,ライブリキングダム,牡3,54.0,森田誠也,1:31.5,大,528.9,16.0,434(-2),[西] 石橋守,202509010104
1,6,12,ルクスジニア,牝3,55.0,池添謙一,1:33.9,,2.9,1.0,440(-4),[西] 平田修,202509010105
2,8,16,ダノンブギ,牡3,57.0,横山和生,1:34.4,3,3.6,2.0,480(-10),[西] 安田翔伍,202509010105
3,4,7,マイネルフルムーン,牡3,57.0,キング,1:34.5,クビ,13.1,5.0,452(0),[西] 吉田直弘,202509010105
4,5,9,アークシャルダーム,牝3,55.0,岩田望来,1:34.6,3/4,17.1,7.0,462(-8),[西] 友道康夫,202509010105
5,7,14,ウィズマスタング,牡3,57.0,松若風馬,1:34.7,1/2,146.7,14.0,444(+2),[西] 西園翔太,202509010105
6,7,15,ベビーズブレス,牝3,55.0,武豊,1:34.8,1/2,9.6,4.0,420(-6),[西] 千田輝彦,202509010105
7,2,4,サマンサバローズ,牝3,55.0,団野大成,1:34.8,ハナ,16.9,6.0,464(-8),[西] 斉藤崇史,202509010105
8,6,11,シャオシンユン,牝3,55.0,坂井瑠星,1:35.1,2,67.6,10.0,432(-6),[西] 西園正都,202509010105
9,3,5,アスクヴォルテージ,牡3,57.0,松山弘平,1:35.2,クビ,4.6,3.0,508(-4),[西] 藤原英昭,202509010105
10,1,1,サンタンドレア,牝3,55.0,北村友一,1:35.3,1/2,44.0,9.0,430(0),[西] 池添学,202509010105
11,8,18,スマートロベール,牝3,52.0,今村聖奈,1:35.3,クビ,182.2,15.0,418(-2),[西] 笹田和秀,202509010105
12,8,17,メイショウマサツラ,牡3,56.0,田口貫太,1:35.4,3/4,115.8,12.0,506(-2),[西] 本田優,202509010105
13,5,10,ドゥラルーナ,牝3,55.0,浜中俊,1:35.5,1/2,112.8,11.0,452(0),[西] 清水久詞,202509010105
14,1,2,テーオーミリカン,牡3,57.0,藤岡佑介,1:35.7,1.1/4,26.7,8.0,464(-2),[西] 宮徹,202509010105
15,7,13,タウングー,牝3,55.0,幸英明,1:35.8,3/4,337.8,16.0,420(-16),[西] 藤沢則雄,202509010105
16,2,3,ナムラパール,牝3,55.0,城戸義政,1:35.9,クビ,429.1,17.0,412(0),[西] 荒川義之,202509010105
17,3,6,ドラマツルギー,牝3,55.0,角田大和,1:36.0,3/4,533.1,18.0,422(+4),[西] 大根田裕,202509010105
18,4,8,マサムネ,牡3,57.0,Ｍ．デム,1:36.3,2,138.8,13.0,498(+8),[西] 飯田祐史,202509010105
1,8,15,ポルポラジール,牡4,58.0,藤岡佑介,1:53.7,,2.4,1.0,512(+2),[西] 新谷功一,202509010106
2,6,12,メイショウタムシバ,牝4,56.0,武豊,1:54.1,2.1/2,7.3,4.0,420(0),[西] 飯田祐史,202509010106
3,2,3,トモジャザーン,牡4,57.0,田口貫太,1:54.1,ハナ,5.8,3.0,508(+22),[西] 大根田裕,202509010106
4,1,2,セブンスストリート,牡5,58.0,団野大成,1:54.2,クビ,15.9,5.0,464(+8),[西] 高橋康之,202509010106
5,7,14,ダオラダオラ,セ5,56.0,吉村誠之,1:54.6,2.1/2,133.5,12.0,484(+12),[西] 羽月友彦,202509010106
6,5,9,バルダンツァ,牡4,58.0,荻野琢真,1:54.9,1.3/4,74.9,8.0,466(-10),[東] 石毛善彦,202509010106
7,1,1,サーティファイド,牡6,58.0,キング,1:55.3,2.1/2,21.2,6.0,478(-10),[西] 鮫島一歩,202509010106
8,7,13,タナバタ,牡4,58.0,酒井学,1:55.3,クビ,98.9,10.0,492(0),[東] 武井亮,202509010106
9,5,10,ヤマカツレオン,セ8,58.0,幸英明,1:55.3,アタマ,84.7,9.0,512(+2),[西] 谷潔,202509010106
10,4,7,クヴェレ,牡4,58.0,和田竜二,1:55.5,1.1/4,213.0,13.0,452(0),[西] 鈴木孝志,202509010106
11,4,8,スカイサーベイ,牡4,58.0,坂井瑠星,1:55.6,1/2,3.0,2.0,476(0),[西] 池添学,202509010106
12,2,4,マーベリックシチー,牡4,58.0,鮫島克駿,1:56.4,5,125.0,11.0,466(+2),[西] 岡田稲男,202509010106
13,3,6,カレンマウラー,牡4,58.0,岡田祥嗣,1:56.6,1.1/4,346.5,15.0,474(+8),[西] 安田翔伍,202509010106
14,6,11,インジケーター,牡4,58.0,松若風馬,1:58.7,大,23.0,7.0,498(-2),[西] 高橋康之,202509010106
15,3,5,タイキエルキーオ,牡4,58.0,和田翼,1:59.4,4,376.6,16.0,490(-8),[西] 谷潔,202509010106
16,8,16,セルリアンミナギル,牡5,55.0,和田陽希,1:59.5,3/4,274.6,14.0,486(-7),[西] 藤野健太,202509010106
1,6,11,タイセイレスポンス,セ4,58.0,横山和生,1:25.4,,7.6,4.0,506(+8),[西] 安田翔伍,202509010107
2,8,16,クアトロジャック,牡4,58.0,坂井瑠星,1:25.5,1/2,2.9,1.0,494(+4),[西] 庄野靖志,202509010107
3,1,2,バレル,牡6,58.0,松若風馬,1:25.7,1,104.8,12.0,484(-2),[西] 鮫島一歩,202509010107
4,6,12,プリンスノット,牡5,58.0,鮫島克駿,1:25.7,クビ,47.6,10.0,478(+2),[西] 小椋研介,202509010107
5,2,4,バルミーウェザー,牡4,58.0,岩田望来,1:25.8,3/4,10.5,5.0,486(0),[西] 鮫島一歩,202509010107
6,5,9,カルパ,牡4,58.0,団野大成,1:25.8,クビ,4.8,2.0,446(+6),[西] 須貝尚介,202509010107
7,7,14,ゼットスパンキー,牡4,57.0,高杉吏麒,1:26.1,1.3/4,26.8,8.0,474(0),[西] 宮徹,202509010107
8,7,13,モーデン,牡7,58.0,荻野琢真,1:26.4,1.1/2,127.1,13.0,482(-8),[西] 藤沢則雄,202509010107
9,5,10,ポンピエ,牡4,58.0,松山弘平,1:26.6,1.1/4,5.3,3.0,450(0),[西] 西園正都,202509010107
10,2,3,ウインドワンピース,牡5,58.0,幸英明,1:26.6,アタマ,203.7,16.0,518(+14),[西] 藤沢則雄,202509010107
11,1,1,ワンダーフェロー,牡4,55.0,和田陽希,1:26.7,1/2,27.8,9.0,484(+6),[西] 杉山晴紀,202509010107
12,4,7,ソルアマゾン,牡4,58.0,西村淳也,1:27.0,1.1/2,82.1,11.0,464(+8),[西] 小栗実,202509010107
13,4,8,ダンツビガー,牡5,58.0,藤岡佑介,1:27.1,3/4,15.3,7.0,500(+8),[西] 四位洋文,202509010107
14,3,6,ミライハーモニー,牝4,53.0,今村聖奈,1:27.3,1,10.9,6.0,416(+4),[西] 飯田祐史,202509010107
15,8,15,フルオブプレイズ,牡5,56.0,吉村誠之,1:27.5,1.1/4,128.0,14.0,496(-8),[西] 河内洋,202509010107
16,3,5,キモンゲーム,牡4,58.0,Ｍ．デム,1:27.9,2.1/2,153.9,15.0,486(+12),[西] 村山明,202509010107
1,4,4,ピジョンブラッド,牝6,56.0,酒井学,1:53.7,,30.6,8.0,508(0),[西] 荒川義之,202509010108
2,8,9,パルクリチュード,牝5,56.0,西村淳也,1:53.8,1/2,2.2,1.0,446(-4),[西] 松永幹夫,202509010108
3,8,10,トウカイポワール,牝4,56.0,幸英明,1:53.9,クビ,3.8,2.0,454(0),[西] 北出成人,202509010108
4,2,2,アルタビスタ,牝5,54.0,吉村誠之,1:54.3,2.1/2,10.3,5.0,488(+22),[西] 松永幹夫,202509010108
5,7,8,ノボリクレバー,牝5,55.0,田口貫太,1:54.3,アタマ,6.8,4.0,498(-4),[西] 石橋守,202509010108
6,3,3,スマートプレシャス,牝4,56.0,田中健,1:54.4,3/4,16.5,6.0,508(+6),[西] 中村直也,202509010108
7,6,6,タガノチョコラータ,牝5,56.0,角田大和,1:54.7,1.1/2,96.3,9.0,508(+6),[西] 角田晃一,202509010108
8,7,7,コーラルハート,牝4,56.0,岩田望来,1:55.1,2.1/2,6.5,3.0,504(0),[西] 小林真也,202509010108
9,1,1,ノッテルーナ,牝5,53.0,田山旺佑,1:55.7,4,117.6,10.0,470(+12),[西] 宮本博,202509010108
10,5,5,コイニョウボウ,牝5,55.0,高杉吏麒,1:55.9,1.1/4,22.8,7.0,416(+2),[西] 中尾秀正,202509010108
1,1,1,ジーティーアダマン,牡3,57.0,松山弘平,2:11.0,,4.5,3.0,492(-10),[西] 上村洋行,202509010109
2,6,6,ミラージュナイト,牡3,57.0,藤岡佑介,2:11.2,1.1/4,5.2,4.0,486(+2),[西] 辻野泰之,202509010109
3,3,3,ファイアンクランツ,牡3,57.0,キング,2:11.2,ハナ,2.8,1.0,456(-8),[東] 堀宣行,202509010109
4,2,2,ヤマニンブークリエ,牡3,57.0,武豊,2:12.0,5,7.4,5.0,524(-4),[西] 松永幹夫,202509010109
5,8,8,ホウオウアートマン,牡3,57.0,高杉吏麒,2:12.0,クビ,15.9,6.0,472(-10),[西] 矢作芳人,202509010109
6,4,4,パーティハーン,牡3,57.0,坂井瑠星,2:12.4,2.1/2,4.0,2.0,478(+2),[西] 友道康夫,202509010109
7,7,7,ショウナンバルドル,セ3,57.0,池添謙一,2:14.0,10,31.4,7.0,500(-2),[西] 須貝尚介,202509010109
8,5,5,コウジョリョウゾク,牡3,57.0,荻野琢真,2:15.9,大,120.6,8.0,460(-6),[西] 牧田和弥,202509010109
1,5,5,ハヤテノフクノスケ,牡4,56.0,岩田望来,3:02.9,,2.4,1.0,540(+6),[西] 中村直也,202509010110
2,4,4,ミステリーウェイ,セ7,55.0,団野大成,3:03.8,5,13.7,5.0,504(-4),[西] 小林真也,202509010110
3,8,9,サンライズソレイユ,牡4,56.0,坂井瑠星,3:03.8,アタマ,2.7,2.0,526(0),[西] 矢作芳人,202509010110
4,8,10,リンフレスカンテ,牡7,56.0,松山弘平,3:04.4,3.1/2,7.6,4.0,448(0),[西] 宮本博,202509010110
5,6,6,ウインエアフォルク,牡8,54.0,幸英明,3:04.8,2.1/2,95.1,10.0,486(+10),[東] 根本康広,202509010110
6,7,8,キングサーガ,セ8,55.0,Ｍ．デム,3:04.8,ハナ,38.9,8.0,496(+20),[西] 小栗実,202509010110
7,3,3,シリアルノヴェル,牡5,55.0,西村淳也,3:05.2,2.1/2,20.2,6.0,486(+2),[東] 伊藤圭三,202509010110
8,7,7,グランアルティスタ,牡4,55.0,武豊,3:05.6,2.1/2,6.7,3.0,526(+2),[西] 寺島良,202509010110
9,1,1,ナムラカミカゼ,牡8,52.0,和田竜二,3:07.1,9,79.5,9.0,502(+2),[西] 村山明,202509010110
10,2,2,タクシンイメル,牝4,50.0,酒井学,3:10.9,大,33.9,7.0,472(-6),[西] 武英智,202509010110
1,1,1,ルクスフロンティア,牡5,56.0,武豊,2:04.5,,31.0,9.0,492(+4),[西] 松永幹夫,202509010111
2,8,15,ゼットリアン,牡5,56.0,松山弘平,2:04.9,2,18.6,6.0,444(+2),[西] 吉田直弘,202509010111
3,7,14,クールミラボー,牡5,55.0,キング,2:05.0,3/4,19.4,7.0,488(-2),[西] 寺島良,202509010111
4,4,7,ウェルカムニュース,牡6,57.0,団野大成,2:05.1,クビ,29.2,8.0,510(+14),[西] 池江泰寿,202509010111
5,6,12,ジューンアヲニヨシ,牡5,56.0,鮫島克駿,2:05.1,クビ,4.0,2.0,488(-6),[西] 松下武士,202509010111
6,7,13,マリオロード,牡6,55.0,池添謙一,2:05.1,ハナ,149.6,16.0,512(+10),[西] 安達昭夫,202509010111
7,5,9,アイファーテイオー,牡5,53.0,幸英明,2:05.4,1.3/4,102.3,14.0,472(-6),[西] 鮫島一歩,202509010111
8,1,2,リチュアル,セ6,55.0,浜中俊,2:05.4,アタマ,10.4,5.0,520(+6),[西] 田中克典,202509010111
9,8,16,カズペトシーン,牡5,57.0,西村淳也,2:05.6,1,3.6,1.0,498(-4),[西] 池添学,202509010111
10,6,11,バハルダール,牡6,57.0,水口優也,2:06.3,4,33.5,10.0,514(-2),[西] 池江泰寿,202509010111
11,2,3,フォーチュンテラー,牡6,55.0,藤岡佑介,2:06.3,クビ,40.7,12.0,478(0),[西] 浜田多実,202509010111
12,3,5,ダイシンピスケス,牡7,57.0,岩田望来,2:06.6,1.3/4,34.5,11.0,524(+12),[西] 森秀行,202509010111
13,5,10,エナハツホ,牝6,52.0,吉村誠之,2:06.7,クビ,128.6,15.0,450(-2),[西] 吉田直弘,202509010111
14,2,4,タイセイドレフォン,牡6,56.0,田口貫太,2:06.9,1.1/4,41.0,13.0,498(+4),[西] 西村真幸,202509010111
15,4,8,リアレスト,牡4,56.0,北村友一,2:07.7,5,7.0,4.0,510(-18),[東] 尾関知人,202509010111
16,3,6,シゲルショウグン,牡5,56.0,和田竜二,2:08.8,7,5.3,3.0,504(-4),[西] 大橋勇樹,202509010111
1,4,7,バウンシーステップ,牝4,56.0,鮫島克駿,1:20.2,,4.8,2.0,466(+6),[西] 高橋亮,202509010112
2,3,5,ヤブサメ,牡4,58.0,坂井瑠星,1:20.3,3/4,6.5,4.0,482(+6),[西] 石橋守,202509010112
3,3,4,システムリブート,牡5,58.0,北村友一,1:20.3,アタマ,8.2,6.0,536(+14),[西] 吉岡辰弥,202509010112
