着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師,race_id
1,6,11,ポマール,牝3,55.0,ムルザバ,1:25.9,,5.5,3.0,442(+2),[西] 小栗実,202409010101
2,2,4,ジョウゲンノツキ,牝3,55.0,松若風馬,1:25.9,ハナ,7.1,5.0,438(+2),[西] 牧田和弥,202409010101
3,3,5,シノノメ,牝3,54.0,角田大和,1:25.9,クビ,57.4,8.0,444(0),[西] 大久保龍,202409010101
4,3,6,エンジェルスノー,牝3,55.0,幸英明,1:26.3,2.1/2,40.3,7.0,466(-2),[西] 岡田稲男,202409010101
5,4,7,フォーレ,牝3,55.0,岩田望来,1:27.4,7,13.1,6.0,416(0),[西] 浜田多実,202409010101
6,6,12,エブライト,牝3,55.0,西村淳也,1:27.5,3/4,3.2,1.0,474(+4),[西] 橋口慎介,202409010101
7,1,2,ワンダーセイレーン,牝3,52.0,今村聖奈,1:28.3,5,77.0,10.0,466(-8),[西] 今野貞一,202409010101
8,5,9,ゴールデンチップス,牝3,55.0,松山弘平,1:29.1,5,6.0,4.0,510(+2),[西] 須貝尚介,202409010101
9,1,1,ウィンカラー,牝3,55.0,古川吉洋,1:29.2,1,91.2,12.0,458(-2),[西] 谷潔,202409010101
10,5,10,バイアスペクター,牝3,55.0,国分優作,1:29.5,1.3/4,140.4,13.0,424(-2),[西] 大根田裕,202409010101
11,8,15,アジアノハナ,牝3,55.0,酒井学,1:29.8,1.3/4,3.8,2.0,478(0),[西] 牧田和弥,202409010101
12,2,3,レモンスフレ,牝3,55.0,水口優也,1:30.0,1,59.7,9.0,420(-4),[西] 羽月友彦,202409010101
13,4,8,リーゼントキャロル,牝3,51.0,古川奈穂,1:30.6,3.1/2,81.4,11.0,444(+8),[西] 矢作芳人,202409010101
14,7,14,テイエムライオジン,牝3,55.0,鮫島良太,1:31.9,8,217.1,16.0,436(0),[西] 飯田雄三,202409010101
15,7,13,キュルビス,牝3,55.0,川須栄彦,1:32.4,3,143.7,14.0,440(0),[西] 緒方努,202409010101
16,8,16,サンエルガー,牝3,54.0,田口貫太,1:34.2,大,175.4,15.0,486(0),[西] 安達昭夫,202409010101
1,6,7,ギマール,牡3,57.0,岩田康誠,1:55.5,,5.3,4.0,458(-6),[西] 上村洋行,202409010102
2,5,5,シグネチャーセント,牡3,57.0,Ｍ．デム,1:55.7,1,62.1,8.0,482(-2),[西] 橋口慎介,202409010102
3,2,2,パカーラン,牡3,57.0,ルメート,1:55.7,ハナ,4.7,2.0,478(+6),[西] 藤原英昭,202409010102
4,8,10,マイネルオデーサ,牡3,57.0,幸英明,1:55.8,3/4,11.3,6.0,446(+2),[西] 宮徹,202409010102
5,4,4,ウインメラナイト,牡3,57.0,川又賢治,1:55.9,3/4,74.5,9.0,500(-4),[西] 寺島良,202409010102
6,7,9,グランオース,牡3,56.0,角田大河,1:55.9,アタマ,2.8,1.0,504(0),[西] 角田晃一,202409010102
7,6,6,カフジテルビウム,牡3,57.0,松山弘平,1:56.2,1.1/2,7.5,5.0,466(-2),[西] 杉山佳明,202409010102
8,7,8,チョウガンバレ,牡3,57.0,森裕太朗,1:56.7,3,4.8,3.0,476(0),[西] 羽月友彦,202409010102
9,3,3,トモジャオッシュ,牡3,56.0,田口貫太,1:56.7,ハナ,34.4,7.0,482(-2),[西] 大根田裕,202409010102
10,8,11,ファッシネイトパイ,牡3,57.0,国分優作,1:56.8,1,77.9,10.0,484(-6),[西] 畑端省吾,202409010102
11,1,1,サクリファイス,牡3,57.0,松若風馬,1:58.9,大,210.0,11.0,458(+2),[西] 小崎憲,202409010102
1,4,6,ローガンパス,牡3,57.0,ムルザバ,1:12.5,,1.1,1.0,484(0),[西] 奥村豊,202409010103
2,8,15,カズトシクン,牡3,57.0,池添謙一,1:13.6,7,10.3,2.0,488(-8),[西] 渡辺薫彦,202409010103
3,3,5,キングクレオール,牡3,57.0,川須栄彦,1:13.6,ハナ,120.8,9.0,456(-6),[東] 和田雄二,202409010103
