着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師,race_id
1,1,1,バンデルオーラ,牡3,56.0,西村淳也,1:08.5,,2.7,1.0,480(+16),[西] 牧浦充徳,202202010101
2,6,11,ショウナンラブリー,牝3,54.0,岩田康誠,1:09.0,3,71.7,12.0,412(0),[東] 稲垣幸雄,202202010101
3,1,2,オマツサマ,牝3,54.0,藤岡佑介,1:09.1,1/2,6.4,3.0,476(0),[西] 藤岡健一,202202010101
4,3,5,デルマカミーラ,牝3,54.0,荻野琢真,1:09.1,ハナ,16.1,8.0,480(+8),[西] 牧田和弥,202202010101
5,7,14,フーレイ,牝3,54.0,鮫島克駿,1:09.1,クビ,82.7,13.0,440(-10),[西] 新谷功一,202202010101
6,4,8,ムーディナイル,牝3,51.0,横山琉人,1:09.2,1/2,8.5,5.0,518(-2),[東] 林徹,202202010101
7,2,3,セイショウスマイル,牝3,54.0,丹内祐次,1:09.2,アタマ,50.9,10.0,474(-4),[東] 本間忍,202202010101
8,3,6,アメトリンルナ,牝3,54.0,丸山元気,1:09.2,ハナ,14.3,7.0,444(+20),[東] 畠山吉宏,202202010101
9,7,13,アルマイメル,牡3,56.0,池添謙一,1:09.2,ハナ,6.0,2.0,458(-8),[西] 武英智,202202010101
10,6,12,ハッピーノリクン,牡3,56.0,菊沢一樹,1:09.3,クビ,139.5,15.0,430(-4),[東] 鈴木伸尋,202202010101
10,8,15,ディージェーサン,牝3,54.0,横山武史,1:09.3,同着,9.7,6.0,404(-12),[東] 小桧山悟,202202010101
12,5,9,バーニーフォールズ,牝3,54.0,菱田裕二,1:09.5,1,8.4,4.0,446(+4),[東] 加藤征弘,202202010101
13,2,4,フロムドーヴィル,牝3,54.0,横山和生,1:09.5,ハナ,63.0,11.0,440(-6),[東] 加藤士津,202202010101
14,4,7,ララサンシャイン,牝3,51.0,鷲頭虎太,1:09.5,クビ,336.3,16.0,412(0),[西] 千田輝彦,202202010101
15,8,16,ザナイトカフェ,牡3,56.0,黛弘人,1:09.9,2,132.7,14.0,474(-2),[東] 宗像義忠,202202010101
中,5,10,アンジーニョ,牝3,53.0,秋山稔樹,,,49.5,9.0,414(-2),[西] 高橋義忠,202202010101
1,3,3,カンティプール,牝3,54.0,和田竜二,1:47.2,,1.8,1.0,482(0),[西] 渡辺薫彦,202202010102
2,6,6,エピファニアペスカ,牝3,51.0,鷲頭虎太,1:47.3,3/4,21.8,5.0,466(+4),[西] 松永昌博,202202010102
3,1,1,ラブミーディザイア,牝3,54.0,菱田裕二,1:47.3,クビ,5.1,3.0,478(0),[東] 和田勇介,202202010102
4,7,8,レディベル,牝3,50.0,古川奈穂,1:47.4,クビ,4.9,2.0,498(-2),[西] 矢作芳人,202202010102
5,8,10,フォンメイリー,牝3,54.0,斎藤新,1:47.6,1,26.0,6.0,464(+4),[西] 四位洋文,202202010102
6,6,7,コスモパンドラ,牝3,54.0,丹内祐次,1:47.7,3/4,92.5,10.0,452(0),[東] 粕谷昌央,202202010102
7,5,5,サトノゼノビア,牝3,54.0,横山和生,1:48.1,2.1/2,34.1,7.0,474(-10),[東] 国枝栄,202202010102
8,7,9,ディスコ,牝3,54.0,武豊,1:48.5,2,6.6,4.0,474(0),[西] 音無秀孝,202202010102
9,8,11,ステラフィオーレ,牝3,52.0,角田大和,1:48.7,1.1/4,47.7,9.0,450(-16),[西] 松永幹夫,202202010102
中,4,4,デルマエルフ,牝3,54.0,浜中俊,,,37.1,8.0,466(-2),[東] 鹿戸雄一,202202010102
除,2,2,ケデシュ,牝3,54.0,松田大作,,,---,,468(0),[西] 上村洋行,202202010102
1,8,11,ラージベル,牝3,52.0,山田敬士,1:00.0,,17.7,5.0,462(+6),[東] 松永康利,202202010103
2,8,12,トキメキナイト,牡3,56.0,丹内祐次,1:00.2,1.1/2,4.9,3.0,470(+2),[東] 武藤善則,202202010103
3,6,7,タイガークリスエス,牡3,56.0,鮫島克駿,1:00.3,クビ,5.1,4.0,474(-2),[西] 大橋勇樹,202202010103
4,7,9,レッドブレンナー,牡3,56.0,岩田康誠,1:00.6,1.3/4,4.0,2.0,474(+2),[西] 安田隆行,202202010103
5,5,6,ブラザリーラヴ,牡3,55.0,秋山稔樹,1:00.6,クビ,28.5,7.0,430(-8),[東] 大竹正博,202202010103
6,3,3,サリーチャン,牝3,54.0,菊沢一樹,1:00.7,クビ,142.3,11.0,444(-8),[東] 石栗龍彦,202202010103
7,1,1,ウインオワーズ,牡3,56.0,西村淳也,1:00.9,1.1/4,28.5,6.0,476(-2),[東] 高木登,202202010103
8,7,10,カルーナブルガリス,牝3,51.0,小林凌大,1:01.1,1,2.4,1.0,444(0),[東] 伊藤圭三,202202010103
9,4,4,アマゴ,牝3,51.0,小林脩斗,1:01.2,3/4,46.4,9.0,444(0),[東] 田島俊明,202202010103
10,2,2,ピオニール,牝3,51.0,横山琉人,1:01.3,3/4,191.5,12.0,444(-4),[東] 斎藤誠,202202010103
11,6,8,スターオブフェイス,牡3,56.0,丸山元気,1:01.7,2.1/2,32.2,8.0,424(0),[東] 土田稔,202202010103
12,5,5,アイスキング,セ3,54.0,角田大和,1:02.3,3.1/2,64.0,10.0,456(0),[西] 高柳大輔,202202010103
1,8,11,ノートルプロメス,牡3,56.0,藤岡佑介,2:01.2,,11.8,4.0,504(+4),[西] 四位洋文,202202010104
2,4,4,ベアーザベル,牝3,54.0,岩田康誠,2:01.4,1.1/4,7.0,3.0,436(-2),[西] 渡辺薫彦,202202010104
3,6,6,ブローザホーン,牡3,56.0,横山武史,2:01.5,3/4,5.6,2.0,424(+18),[東] 中野栄治,202202010104
4,5,5,メイショウホーコン,牡3,56.0,池添謙一,2:01.6,クビ,14.2,6.0,486(-2),[西] 池添兼雄,202202010104
5,1,1,ナンベイコー,牝3,54.0,吉田隼人,2:01.6,クビ,20.7,7.0,416(-4),[東] 尾形和幸,202202010104
6,7,9,ララアンセストラル,牡3,56.0,鮫島克駿,2:01.6,アタマ,12.0,5.0,470(+2),[西] 松下武士,202202010104
7,2,2,グロー,牡3,56.0,和田竜二,2:01.8,1.1/4,1.7,1.0,476(+4),[西] 鈴木孝志,202202010104
8,7,8,マイネルユヌスール,牡3,56.0,丹内祐次,2:02.0,1,65.3,10.0,478(+2),[西] 五十嵐忠,202202010104
9,3,3,リアルモンスター,牡3,55.0,泉谷楓真,2:02.0,アタマ,22.1,8.0,488(+4),[西] 大橋勇樹,202202010104
10,6,7,ラッフルズプレース,牡3,53.0,横山琉人,2:03.9,大,56.6,9.0,446(+2),[東] 林徹,202202010104
11,8,10,メイショウヒシャ,牡3,56.0,西村淳也,2:04.0,1,156.8,11.0,524(+6),[西] 荒川義之,202202010104
1,1,1,ニーナブランド,牝2,54.0,鮫島克駿,0:57.5,,10.4,4.0,420(0),[東] 高橋裕,202202010105
2,4,4,カマラードマリー,牝2,52.0,角田大和,0:57.8,1.1/2,12.9,5.0,448(0),[東] 小笠倫弘,202202010105
3,6,6,イティネラートル,牝2,54.0,藤岡佑介,0:57.8,ハナ,4.0,2.0,408(0),[西] 長谷川浩,202202010105
4,5,5,ワイアウ,牝2,54.0,吉田隼人,0:58.0,1.1/4,1.8,1.0,436(0),[西] 武幸四郎,202202010105
5,8,8,コパカバーナビーチ,牝2,54.0,黛弘人,0:58.2,1.1/2,30.3,7.0,446(0),[東] 中野栄治,202202010105
6,7,7,クリノゴッホ,牡2,54.0,丹内祐次,0:58.4,1.1/4,8.1,3.0,460(0),[東] 岩戸孝樹,202202010105
7,2,2,ピアブルー,牝2,53.0,秋山稔樹,0:58.8,2.1/2,63.4,8.0,386(0),[東] 浅野洋一,202202010105
8,3,3,スナークメモリー,牝2,54.0,和田竜二,0:59.2,2.1/2,26.1,6.0,412(0),[西] 川村禎彦,202202010105
9,8,9,オスカーレイ,牝2,52.0,山田敬士,0:59.7,3,122.5,9.0,410(0),[東] 小桧山悟,202202010105
1,5,7,エコログロリアス,牡3,56.0,横山武史,1:47.0,,4.7,2.0,480(-4),[東] 加藤征弘,202202010106
2,2,2,トーホウテンリュウ,牡3,56.0,菱田裕二,1:47.0,アタマ,47.3,10.0,478(0),[西] 石坂公一,202202010106
3,7,12,メイショウタイゲイ,牡3,56.0,吉田隼人,1:47.1,3/4,24.6,8.0,440(-10),[西] 荒川義之,202202010106
